source,target,weigth
A. C.,Gente Vieja,1
A. C.,La Vida Literaria,1
A. C.,Luz,3
A. I. de R.,Germinal,1
"Abarzuza, Francisco de",La Vida Literaria,1
"Abayá, Francisco",Germinal,1
"Abel, Edmundo",Alma Española,3
"Abel, Edmundo",Helios,2
"Abella Mendoza, Temístocles",Revista Literaria. Publicación Mensual,8
"Abella-Nouvrac, L.",Alpha,1
Aben-Hamet,Luz i Sombra,1
"Acebal, Francisco",Alma Española,14
"Acebal, Francisco",Helios,3
"Acebal, Francisco",Renacimiento,3
"Acevedo Bernal, Ricardo",El Montañés,1
"Acevedo Bernal, Ricardo",El Repertorio. Revista Mensual Ilustrada,2
"Acevedo, Graciliano",La Gruta,1
"Acevedo, Jesús",El Nuevo Mercurio,1
"Acosta de Samper, Soledad",Revista Literaria. Publicación Mensual,3
"Acosta, Javier",La Gruta,9
"Acosta, Javier",Revista Contemporánea,4
"Acosta, Javier",Trofeos,3
"Acosta, Vicente",Revista Azul,13
"Acuña, Rodrigo de",Alma Española,2
"Adam, Paul",El Nuevo Mercurio,2
"Adam, Paul",Germinal,2
"Adam, Paul",Helios,1
"Adlaer, M.",Luz i Sombra,1
"Afán de Ribera, Antonio Joaquín",Gente Vieja,59
Ageo,Gente Vieja,2
"Aguilera y Arjona, Alberto",Vida Nueva,2
"Aguilera y Velasco, Alberto",Alma Española,1
"Aguilera y Velasco, Alberto",Gente Vieja,1
"Aguirre M., R.",Luz i Sombra,1
"Agurto M., Luis A.",Luz i Sombra,2
Al-Ashjai,Vida Nueva,1
"Aladern, Joseph",Luz,1
"Alameda, Federico",Gente Vieja,1
"Alarcón, Pedro Antonio de",Gente Vieja,1
"Alarcón, Pedro Antonio de",Germinal,1
"Alarcón, Pedro Antonio de",Revista Azul,1
"Alarcón, Pedro Antonio de",Revista Literaria. Publicación Mensual,3
"Alas, Genaro",Alma Española,6
"Alas, Genaro",Gente Vieja,2
"Alas, Leopoldo",Gente Vieja,1
"Alas, Leopoldo",La Vida Literaria,7
"Alas, Leopoldo",Revista Azul,4
"Alba, E.",Lectura Amena,1
"Alba, Rafael de",Revista Azul,2
"Albani, Francesco",La Vida Literaria,1
"Alberdi, Juan Bautista",La Bibliotéca,1
"Albert Paradis, Caterina",Renacimiento,1
"Alberti, José Ignacio de",La Vida Literaria,1
"Albornoz, Álvaro de",Germinal,1
"Albornoz, Álvaro de",Helios,6
"Alcaide de Zafra, Joaquín",Germinal,1
"Alcaide de Zafra, Joaquín",Vida Nueva,1
"Alcalá Galiano, José",Gente Vieja,1
"Alcalá Galiano, José",Revista Literaria. Publicación Mensual,1
"Alcántara Jurado, Fracisco",Revista Literaria. Publicación Mensual,1
"Aldao, Carlos A.",La Bibliotéca,1
"Aldi, Pietro",Germinal,1
"Aleñá, Juan",Arte Joven,1
"Allais, Alphonse",El Repertorio. Revista Mensual Ilustrada,1
"Allais, Alphonse",Instantáneas,1
"Allais, Alphonse",Lectura Amena,1
"Alma-Tadema, Lawrence",Germinal,1
"Almagro San Martín, Melchor",Helios,1
"Almendros Aguilar, Antonio",Gente Vieja,5
"Alomar, Gabriel",Renacimiento,7
"Alonso y Orera, Enrique",Germinal,7
"Alonso y Orera, Enrique",Revista Nueva Spain,4
"Alonso, Lamberto",Germinal,1
"Alsina, Adolfo",La Bibliotéca,1
"Altada, Luis",Arte Joven,1
"Altada, Luis",Luz,2
"Altamira, Rafael",El Nuevo Mercurio,1
"Altamira, Rafael",Lectura y Arte,1
"Altamira, Rafael",Revista Literaria. Publicación Mensual,1
"Altamirano, Ignacio Manuel",Revista Azul,2
"Altenberg, Peter",Alpha,2
"Altenberg, Peter",Panida,2
"Altenberg, Peter",Revista Contemporánea,1
"Alvarez del Castillo, Manuel",Revista Azul,1
"Alzate Noreña, Luis",CULTURA,5
Amadis,Gente Vieja,4
"Amat, J.",Luz,1
"Ambrogi, Arturo",Revista Azul,15
Amicus,El Nuevo Mercurio,1
"Amor Meilan, Manuel",Gente Vieja,1
"Amorós y Vázquez de Figueroa, Juan Bautista",Arte Joven,2
"Amorós y Vázquez de Figueroa, Juan Bautista",Revista Nueva Spain,1
"Andrade Marín, Francisco",Revista Literaria. Publicación Mensual,2
"Andrade, Olegario Víctor",Revista Azul,1
Andreu Aleu i Teixidor,Alma Española,1
"Andreve, Guillermo",El Nuevo Mercurio,1
"Angélico, Fra",Instantáneas,1
"Anmeghian, P.",El Nuevo Mercurio,1
"Ansótegui, Francisco Tomás de",La Bibliotéca,1
"Antommarchi de Rojas, Dorila",Revista Literaria. Publicación Mensual,2
"Antón, Francisco",Gente Vieja,2
"Antúnez, Diego",La Vida Literaria,4
"Aparicio, Alberto",CULTURA,6
"Appleton Clark, Walter",La Vida Literaria,1
"Aquino, Miguel",Germinal,4
"Araceli, Gabriel",Alma Española,1
"Aramburo y Machado, Mariano",La Vida Literaria,1
Aramis,Revista Azul,1
"Arango M., Gabriel",Alpha,1
"Arango Mejía, Gabriel",La Bohemia Alegre,1
"Arango, Jorge Luis",Lectura y Arte,1
"Arango, Juan B.",Lectura Amena,1
"Arango, Juan B.",Lectura y Arte,1
"Arata, Pedro Narciso",La Bibliotéca,6
"Arboleda, Arturo",La Gruta,1
"Arburu y Morell, José",La Habana Literaria,1
Arbós y Góngora,Alpha,1
"Arce, Julio César",La Gruta,1
"Arce, Julio César",Revista Contemporánea,3
"Arce, Julio César",Trofeos,1
"Arciniegas, Ismael Enrique",Lectura Amena,1
"Arciniegas, Ismael Enrique",Revista Azul,6
"Arciniegas, Ismael Enrique",Revista Literaria. Publicación Mensual,6
"Arco, Ángel del",Gente Vieja,1
"Arenal, Concepción",Alma Española,1
"Arenal, Concepción",El Repertorio. Revista Mensual Ilustrada,1
"Arenal, Concepción",Revista Literaria. Publicación Mensual,1
"Argerich, Juan Antonio",La Bibliotéca,2
"Arguedas Díaz, Alcides",CULTURA,1
"Argüelles Bringas, Gonzalo",El Nuevo Mercurio,1
"Argüelles Bringas, Roberto",El Nuevo Mercurio,1
"Argüello, Alberto L.",La Vida Literaria,1
"Argüello, Santiago",Luz i Sombra,1
"Arias Argáez, Daniel",Revista Moderna. (Enciclopedia colombiana),1
"Arias Sánchez, Alberto",Revista Azul,1
Arlequín,La Vida Literaria,8
"Armada y Losada, Juan de",La Vida Literaria,1
"Armas, Augusto de",Revista Azul,1
"Arnault, Antoine-Vincent",Revista Azul,1
"Arniches, Carlos",Gente Vieja,1
"Arosa, Margarita",La Vida Literaria,1
"Arriola de Bezoita, Jesús",Lectura y Arte,1
"Arroquin, Carlos",Germinal,1
"Arrowsmith, Aaron",La Bibliotéca,1
"Arroyo Cáceres, B.",Germinal,3
"Artola, J.",Germinal,1
"Arzadún, Juan",La Vida Literaria,1
"Arzadún, Juan",Revista Nueva Spain,3
"Arène, Paul",Revista Azul,3
"Asbjørnsen, Peter Christen",CULTURA,1
