"from","to","n"
"Abella Mendoza, Temístocles","Revista Literaria. Publicación Mensual",8
"Abella-Nouvrac, L.","Alpha",1
"Acevedo Bernal, Ricardo","El Montañés",1
"Acevedo Bernal, Ricardo","El Repertorio. Revista Mensual Ilustrada",2
"Acevedo, Graciliano","La Gruta",1
"Acosta de Samper, Soledad","Revista Literaria. Publicación Mensual",3
"Acosta, Javier","La Gruta",9
"Acosta, Javier","Revista Contemporánea",4
"Acosta, Javier","Trofeos",3
"Alarcón, Pedro Antonio de","Revista Literaria. Publicación Mensual",3
"Alba, E.","Lectura Amena",1
"Alcalá Galiano, José","Revista Literaria. Publicación Mensual",1
"Alcántara Jurado, Fracisco","Revista Literaria. Publicación Mensual",1
"Allais, Alphonse","El Repertorio. Revista Mensual Ilustrada",1
"Allais, Alphonse","Lectura Amena",1
"Altamira, Rafael","Lectura y Arte",1
"Altamira, Rafael","Revista Literaria. Publicación Mensual",1
"Altenberg, Peter","Alpha",2
"Altenberg, Peter","Panida",2
"Altenberg, Peter","Revista Contemporánea",1
"Alzate Noreña, Luis","Cultura",5
"Andrade Marín, Francisco","Revista Literaria. Publicación Mensual",2
"Antommarchi de Rojas, Dorila","Revista Literaria. Publicación Mensual",2
"Aparicio, Alberto","Cultura",6
"Arango M., Gabriel","Alpha",1
"Arango Mejía, Gabriel ","La Bohemia Alegre",1
"Arango, Jorge Luis","Lectura y Arte",1
"Arango, Juan B.","Lectura Amena",1
"Arango, Juan B.","Lectura y Arte",1
"Arboleda, Arturo","La Gruta",1
"Arbós y Góngora","Alpha",1
"Arce, Julio César","La Gruta",1
"Arce, Julio César","Revista Contemporánea",3
"Arce, Julio César","Trofeos",1
"Arciniegas, Ismael Enrique","Lectura Amena",1
"Arciniegas, Ismael Enrique","Revista Literaria. Publicación Mensual",6
"Arenal, Concepción","El Repertorio. Revista Mensual Ilustrada",1
"Arenal, Concepción","Revista Literaria. Publicación Mensual",1
"Arguedas Díaz, Alcides","Cultura",1
"Arias Argáez, Daniel","Revista Moderna. (Enciclopedia colombiana)",1
"Arriola de Bezoita, Jesús","Lectura y Arte",1
"Asbjørnsen, Peter Christen","Cultura",1
"Bacon, Francis","El Repertorio. Revista Mensual Ilustrada",1
"Bahr, Hermann","Alpha",1
"Balaguer i Cirera, Víctor","Revista Literaria. Publicación Mensual",1
"Balart, Federico","El Repertorio. Revista Mensual Ilustrada",1
"Balart, Federico","Revista Literaria. Publicación Mensual",3
"Barbier, Auguste","Alpha",1
"Barreto, José María","Revista Moderna. (Enciclopedia colombiana)",1
"Barriga Paez, J.","Trofeos",1
"Barrès, Maurice","Alpha",2
"Barrès, Maurice","Trofeos",2
"Bartrina, Joaquín María","El Repertorio. Revista Mensual Ilustrada",1
"Barzini, Luigi","Alpha",1
"Barón, Felipe","Revista Moderna. (Enciclopedia colombiana)",2
"Bayona Posada, Jorge","Alpha",1
"Bayona Posada, Jorge","La Gruta",1
"Bayona Posada, Jorge","Panida",1
"Beaunier, André","Trofeos",1
"Becerra, Ricardo","Revista Moderna. (Enciclopedia colombiana)",1
"Bedout, C. de","Lectura Amena",1
"Bel, León","La Bohemia Alegre",3
"Bellaigue, Camile","Revista Moderna. (Enciclopedia colombiana)",1
"Bello, Andrés","Trofeos",1
"Benavente, Jacinto","Alpha",1
"Benavente, Jacinto","Panida",2
"Bengoechea, Alfredo de ","Revista Contemporánea",1
"Bernal, Luis","Lectura Amena",1
"Berrío París, Julio","El Repertorio. Revista Mensual Ilustrada",1
"Berthoud, Eugène","Revista Literaria. Publicación Mensual",1
"Betancourt Villegas, Félix","Alpha",4
"Betancourt Villegas, Félix","Cultura",1
"Betancourt Villegas, Félix","Lectura y Arte",1
"Betancourt, Pedro Pablo","Cultura",1
"Beyle, Henri","El Montañés",1
"Biart, Lucien","Revista Literaria. Publicación Mensual",1
"Bilac, Olavo","Revista Moderna. (Enciclopedia colombiana)",1
"Bissière, Roger","Revista Moderna. (Enciclopedia colombiana)",1
"Blaine, James G.","Revista Literaria. Publicación Mensual",1
"Blanc, Charles","El Repertorio. Revista Mensual Ilustrada",1
"Blanco Asenjo, Ricardo","Lectura Amena",1
"Blanco Fombona, Rufino","Lectura Amena",2
"Blanco Fombona, Rufino","Revista Moderna. (Enciclopedia colombiana)",3
"Blanco Fombona, Rufino","Trofeos",5
"Blanco y Sánchez, Rufino","Revista Literaria. Publicación Mensual",3
"Blanco, Héctor","Lectura Amena",1
"Blasco Ibáñez, Vicente","Alpha",1
"Blasco Ibáñez, Vicente","Lectura y Arte",1
"Bobadilla, Emilio","Lectura Amena",1
"Bocquet, León","Trofeos",1
"Bohemia, Juan de","La Gruta",1
