"id","n","type"
"Alpha",131,"magazine"
"Cultura",103,"magazine"
"El Montañés",69,"magazine"
"El Repertorio. Revista Mensual Ilustrada",78,"magazine"
"La Bohemia Alegre",33,"magazine"
"La Gruta",82,"magazine"
"Lectura Amena",150,"magazine"
"Lectura y Arte",83,"magazine"
"Panida",68,"magazine"
"Revista Contemporánea",66,"magazine"
"Revista Literaria. Publicación Mensual",227,"magazine"
"Revista Moderna. (Enciclopedia colombiana)",133,"magazine"
"Trofeos",93,"magazine"
"Abella-Nouvrac, L.",1,"person"
"Abella Mendoza, Temístocles",8,"person"
"Acevedo Bernal, Ricardo",3,"person"
"Acevedo, Graciliano",1,"person"
"Acosta de Samper, Soledad",3,"person"
"Acosta, Javier",16,"person"
"Alarcón, Pedro Antonio de",3,"person"
"Alba, E.",1,"person"
"Alcalá Galiano, José",1,"person"
"Alcántara Jurado, Fracisco",1,"person"
"Allais, Alphonse",2,"person"
"Altamira, Rafael",2,"person"
"Altenberg, Peter",5,"person"
"Álvarez Bonilla, Enrique",1,"person"
"Álvarez Lleras, Antonio",5,"person"
"Álvarez Quintero, Joaquín",1,"person"
"Álvarez Quintero, Serafín",1,"person"
"Alzate Noreña, Luis",5,"person"
"Andrade Marín, Francisco",2,"person"
"Antommarchi de Rojas, Dorila",2,"person"
"Aparicio, Alberto",6,"person"
"Arango M., Gabriel",1,"person"
"Arango Mejía, Gabriel ",1,"person"
"Arango, Jorge Luis",1,"person"
"Arango, Juan B.",2,"person"
"Arboleda, Arturo",1,"person"
"Arbós y Góngora",1,"person"
"Arce, Julio César",5,"person"
"Arciniegas, Ismael Enrique",7,"person"
"Arenal, Concepción",2,"person"
"Arguedas Díaz, Alcides",1,"person"
"Arias Argáez, Daniel",1,"person"
"Arriola de Bezoita, Jesús",1,"person"
"Asbjørnsen, Peter Christen",1,"person"
"Bacon, Francis",1,"person"
"Bahr, Hermann",1,"person"
"Balaguer i Cirera, Víctor",1,"person"
"Balart, Federico",4,"person"
"Barbier, Auguste",1,"person"
"Barón, Felipe",2,"person"
"Barrès, Maurice",4,"person"
"Barreto, José María",1,"person"
"Barriga Paez, J.",1,"person"
"Bartrina, Joaquín María",1,"person"
"Barzini, Luigi",1,"person"
"Bayona Posada, Jorge",3,"person"
"Beaunier, André",1,"person"
"Becerra, Ricardo",1,"person"
"Bécquer, Gustavo Adolfo",1,"person"
"Bedout, C. de",1,"person"
"Bel, León",3,"person"
"Bellaigue, Camile",1,"person"
"Bello, Andrés",1,"person"
"Benavente, Jacinto",3,"person"
"Bengoechea, Alfredo de ",1,"person"
"Bernal, Luis",1,"person"
"Berrío París, Julio",1,"person"
"Berthoud, Eugène",1,"person"
"Betancourt Villegas, Félix",6,"person"
"Betancourt, Pedro Pablo",1,"person"
"Beyle, Henri",1,"person"
"Biart, Lucien",1,"person"
"Bilac, Olavo",1,"person"
"Bissière, Roger",1,"person"
"Blaine, James G.",1,"person"
"Blanc, Charles",1,"person"
"Blanco Asenjo, Ricardo",1,"person"
"Blanco Fombona, Rufino",10,"person"
"Blanco y Sánchez, Rufino",3,"person"
"Blanco, Héctor",1,"person"
"Blasco Ibáñez, Vicente",2,"person"
"Bobadilla, Emilio",1,"person"
"Bocquet, León",1,"person"
"Bohemia, Juan de",1,"person"
"Böhl de Faber y Ruiz de Larrea, Cecilia ",1,"person"
"Boixet i Castells, Ezequiel",1,"person"
"Bolívar, Simón",2,"person"
"Bonilla, Manuel Antonio",2,"person"
"Bonis, J. M.",1,"person"
"Bonnard, Abel",1,"person"
"Borda, Francisco de Paula",1,"person"
"Borda, José Joaquín",2,"person"
"Botero Guerra, Camilo",6,"person"
"Botero Ruiz, Juan José",3,"person"
"Botero, Manuel E.",3,"person"
"Bouet, Carlos",1,"person"
"Bouret, Alonso",1,"person"
"Bourget, Paul",3,"person"
"Breen, M.",1,"person"
"Briand, Aristide",1,"person"
"Briceño, Manuel",2,"person"
"Brisay, Henry de",2,"person"
"Brooks, Adam",1,"person"
"Bueno, Manuel",1,"person"
"Burns, Robert",1,"person"
"Caballero, Lucas",1,"person"
"Cabello de Carbonera, Mercedes",2,"person"
"Cadenas, José Juan",1,"person"
"Caicedo Rojas, José",5,"person"
"Calcaño, Eduardo",1,"person"
"Calcaño, José Antonio",3,"person"
"Calcaño, Julio",4,"person"
"Calderón de la Barca, Pedro",1,"person"
"Calderón, Luis Eduardo",1,"person"
"Camacho Roldán, Salvador",2,"person"
"Camacho, Martín",1,"person"
"Campo, Carlos del",1,"person"
"Campoamor, Ramón de",3,"person"
"Cancio Tobón, Juan",1,"person"
"Cano Gutiérrez, Fidel",19,"person"
"Cano Isaza, F.",1,"person"
"Cano Villegas, Gabriel",2,"person"
"Cano, Antonio José",18,"person"
"Cano, Francisco Antonio",63,"person"
"Cano, Luis",14,"person"
"Cantillo, Liborio D.",1,"person"
"Cantó Vilaplana, Gonzalo",1,"person"
"Cañas, Juan José",1,"person"
"Capuana, Luigi",1,"person"
"Carbonell, Gonzalo",1,"person"
"Cardenas, Bernardino",1,"person"
"Carducci, Giosuè",10,"person"
"Carlyle, Thomas",1,"person"
"Caro, José Eusebio",16,"person"
"Caro, Luis Alejandro",1,"person"
"Caro, Miguel Antonio",13,"person"
"Caro, Víctor Eduardo",1,"person"
"Carranza, Adolfo Pedro ",1,"person"
"Carrasquilla L., Juan de Dios",4,"person"
"Carrasquilla, Ricardo",1,"person"
"Carrasquilla, Tomás",21,"person"
"Carreño, Pedro M.",1,"person"
"Carrere Moreno, Emilio ",1,"person"
"Carricarte, Arturo R. de",1,"person"
"Carriego, Evaristo",2,"person"
"Carrillo, Enrique A.",5,"person"
"Carvajal Borrero, Mario",16,"person"
"Carvajal, Alberto",4,"person"
"Carvajal, M.A.",10,"person"
"Carvajal, Manuel A.",2,"person"
"Carvajal, Manuel Antonio",16,"person"
"Casal, Julián del",1,"person"
"Casas Castañeda, José Joaquín ",4,"person"
"Casas Castañeda, Vicente",1,"person"
"Castelar, Emilio",1,"person"
"Castell, Ángel María",1,"person"
"Castello, Carlos",4,"person"
"Castello, Manuel",1,"person"
"Castilla Baena, Clodomiro",1,"person"
"Castillo, Eduardo",6,"person"
