"id","n","type"
"Alma Española",210,"magazine"
"Alpha",131,"magazine"
"Arte Joven",44,"magazine"
"CULTURA",103,"magazine"
"El Montañés",69,"magazine"
"El Nuevo Mercurio",157,"magazine"
"El Repertorio. Revista Mensual Ilustrada",78,"magazine"
"Gente Vieja",452,"magazine"
"Germinal",269,"magazine"
"Helios",96,"magazine"
"Instantáneas",95,"magazine"
"La Bibliotéca",115,"magazine"
"La Bohemia Alegre",33,"magazine"
"La Gruta",82,"magazine"
"La Habana Literaria",50,"magazine"
"La Vida Literaria",207,"magazine"
"Lectura Amena",150,"magazine"
"Lectura y Arte",83,"magazine"
"Luz",113,"magazine"
"Luz i Sombra",146,"magazine"
"Panida",68,"magazine"
"Renacimiento",59,"magazine"
"Revista Azul",369,"magazine"
"Revista Contemporánea",66,"magazine"
"Revista Literaria. Publicación Mensual",226,"magazine"
"Revista Moderna. (Enciclopedia colombiana)",133,"magazine"
"Revista Nueva Spain",96,"magazine"
"Trofeos",93,"magazine"
"Vida Nueva",124,"magazine"
NA,1,"magazine"
"A. C.",5,"person"
"A. I. de R.",1,"person"
"Abarzuza, Francisco de",1,"person"
"Abayá, Francisco",1,"person"
"Abel, Edmundo",5,"person"
"Abella-Nouvrac, L.",1,"person"
"Abella Mendoza, Temístocles",8,"person"
"Aben-Hamet",1,"person"
"Acebal, Francisco",20,"person"
"Acevedo Bernal, Ricardo",3,"person"
"Acevedo, Graciliano",1,"person"
"Acevedo, Jesús",1,"person"
"Acosta de Samper, Soledad",3,"person"
"Acosta, Javier",16,"person"
"Acosta, Vicente",13,"person"
"Acuña, Rodrigo de",2,"person"
"Adam, Paul",5,"person"
"Adlaer, M.",1,"person"
"Afán de Ribera, Antonio Joaquín",59,"person"
"Ageo",2,"person"
"Aguilera y Arjona, Alberto",2,"person"
"Aguilera y Velasco, Alberto",2,"person"
"Aguirre M., R.",1,"person"
"Agurto M., Luis A.",2,"person"
"Al-Ashjai",1,"person"
"Aladern, Joseph",1,"person"
"Alameda, Federico",1,"person"
"Alarcón, Pedro Antonio de",6,"person"
"Alas, Genaro",8,"person"
"Alas, Leopoldo",12,"person"
"Alba, E.",1,"person"
"Alba, Rafael de",2,"person"
"Albani, Francesco",1,"person"
"Alberdi, Juan Bautista",1,"person"
"Albert Paradis, Caterina",1,"person"
"Alberti, José Ignacio de",1,"person"
"Albornoz, Álvaro de",7,"person"
"Alcaide de Zafra, Joaquín",2,"person"
