Magazine,Number of contribution in magazine,Contributor: Last name / first name,Pseudonym / abbreviation used,Source of contributor data,Sex,Country of Origin,Year of Birth,Year of Death,Age at contribution,Title of contribution,Issue number,Original issue date,Calculable issue date,Type of contribution: comparable,Language,Dedication,Translator,Original language
La Habana Literaria,1a,"Hernandez Miyares, Enrique",,http://viaf.org/viaf/116145857085322922275,M,Cuba,1859,1914,32,Al público,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,1b,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,Al público,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,2,"Cancio, Leopoldo",,http://viaf.org/viaf/4146095333200372503,M,Cuba,1851,1927,40,La isla de Cuba,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,3,Anonymous,,n.I.,NA,NA,NA,NA,NA,La isla de Cuba,1,15.09.1891,1891-09-15,Image,English,,,
La Habana Literaria,4,"Zambrana y Vázquez, Antonio",,http://viaf.org/viaf/19277505,M,Cuba,1846,1922,45,A Evangelina,1,15.09.1891,1891-09-15,Lyricism,Spanish,,,
La Habana Literaria,5,"Montoro, Rafael",,http://viaf.org/viaf/7067009,M,Cuba,1852,1933,39,Mr. William Mc Kinley,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,6,Anonymous,,n.I.,NA,NA,NA,NA,NA,Mr. W. Mc Kinley,1,15.09.1891,1891-09-15,Image,n.I.,,,
La Habana Literaria,7,"Casal, Julián del",,http://viaf.org/viaf/24758421,M,Cuba,1863,1893,28,Horridus somnium,1,15.09.1891,1891-09-15,Lyricism,Spanish,,,
La Habana Literaria,8,"Cabrera, Raimundo",,http://viaf.org/viaf/38294080,M,Cuba,1852,1923,39,La guerra en Europa. (Opiniones de M. H. Kutwom),1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,9,Anonymous,,n.I.,NA,NA,NA,NA,NA,Alejandro de Rusia,1,15.09.1891,1891-09-15,Image,n.I.,,,
La Habana Literaria,10,Anonymous,,n.I.,NA,NA,NA,NA,NA,Moltke,1,15.09.1891,1891-09-15,Image,n.I.,,,
La Habana Literaria,11,"Sanguily, Manuel",,http://viaf.org/viaf/76352567,M,Cuba,1848,1925,43,La sonata de Kreutzer,1,15.09.1891,1891-09-15,Review,Spanish,,,
La Habana Literaria,12,"Lenôtre, Georges",,http://viaf.org/viaf/100168737,M,France,1855,1935,36,Alejandro Dumas...Cocinero,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,"Zayas y Alfonso, Alfredo",Italian
La Habana Literaria,13,Anonymous,,n.I.,NA,NA,NA,NA,NA,Alejandro Dumas... Cocinero,1,15.09.1891,1891-09-15,Image,n.I.,,,
La Habana Literaria,14,"Varona, Enrique José",,http://viaf.org/viaf/59880487,M,Cuba,1849,1933,42,Dos paisajes (en un álbum),1,15.09.1891,1891-09-15,Lyricism,Spanish,,,
La Habana Literaria,15,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,La exposición de Chicago,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,16,Anonymous,,n.I.,NA,NA,NA,NA,NA,La exposición de Chicago,1,15.09.1891,1891-09-15,Image,n.I.,,,
La Habana Literaria,17,Anonymous,,n.I.,NA,NA,NA,NA,NA,Notas y noticias,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,18,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Á través de la sociedad,1,15.09.1891,1891-09-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,19,"Cruz, Manuel de la",,http://viaf.org/viaf/25996054,M,Portugal,1861,1896,30,Granaderos a caballo,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,20,"Casal, Julián del",,http://viaf.org/viaf/24758421,M,Cuba,1863,1893,28,El camino de Damasco,2,30.09.1891,1891-09-30,Lyricism,Spanish,,,
La Habana Literaria,21,"Quesnel, Léo",,http://viaf.org/viaf/68921198,M,France,NA,NA,NA,Alfredo Tennyson,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,22,Anonymous,,n.I.,NA,NA,NA,NA,NA,Alfredo Tennyson,2,30.09.1891,1891-09-30,Image,n.I.,,,
La Habana Literaria,23,"Obligado, Rafael",,http://viaf.org/viaf/76395827,M,Argentina,1851,1920,40,Los horneros,2,30.09.1891,1891-09-30,Lyricism,Spanish,"Dorrego del Solar, Felicia",,
La Habana Literaria,24,"Morúa Delgado, Martín",,http://viaf.org/viaf/6422017,NA,NA,1857,1910,34,Leon Tolstoi,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,25,Anonymous,,n.I.,NA,NA,NA,NA,NA,Conde León Tolstoi,2,30.09.1891,1891-09-30,Image,n.I.,,,
La Habana Literaria,26,"Castillo de González, Aurelia",,http://viaf.org/viaf/39028976,F,Cuba,1842,1920,49,Estudios históricos. I. Xicontencatl,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,"Betancourt, Ramón de",,
La Habana Literaria,27,"Hernandez Miyares, Enrique",,http://viaf.org/viaf/116145857085322922275,M,Cuba,1859,1914,32,Ciudad dormida,2,30.09.1891,1891-09-30,Lyricism,Spanish,,,
La Habana Literaria,28,"Darío, Rubén",,http://viaf.org/viaf/7399994,M,Nicaragua,1867,1916,24,Lieder,2,30.09.1891,1891-09-30,Lyricism,Spanish,,,
La Habana Literaria,29,"Cabrera, Raimundo",,http://viaf.org/viaf/38294080,M,Cuba,1852,1923,39,James Russell Lowell,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,30,Anonymous,,n.I.,NA,NA,NA,NA,NA,James Russell Lowell,2,30.09.1891,1891-09-30,Image,n.I.,,,
La Habana Literaria,31,Anonymous,,n.I.,NA,NA,NA,NA,NA,Dos centenarios: El de Meyerbeer. El de Mozart,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,32,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,Sucesos de Haytí,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,33,Anonymous,,n.I.,NA,NA,NA,NA,NA,El General Légitime,2,30.09.1891,1891-09-30,Image,n.I.,,,
La Habana Literaria,34,"Zayas y Alfonso, Alfredo",,http://viaf.org/viaf/10215057,M,Cuba,1861,1934,30,La tumba de Napoleón I.,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,35,Anonymous,,n.I.,NA,NA,NA,NA,NA,El paseo del prado,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,36,Anonymous,,n.I.,NA,NA,NA,NA,NA,Habana pintoresca,2,30.09.1891,1891-09-30,Image,n.I.,,,
La Habana Literaria,37,Anonymous,,n.I.,NA,NA,NA,NA,NA,La emigración cubana en los Estados Unidos,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,38,Anonymous,,n.I.,NA,NA,NA,NA,NA,Notas y noticias,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,39,"Fontanills, Enrique",,First search unsuccessful,M,NA,NA,NA,NA,La Habana elegante. Crónica de la quincena,2,30.09.1891,1891-09-30,Non-fictional Prose,Spanish,,,
La Habana Literaria,40,"Heredia, Nicolás",,http://viaf.org/viaf/3703780,M,Cuba,1855,1901,36,El falansterio de Oneida,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,,
La Habana Literaria,41,"Guerrini, Olindo",Lorenzo Stecchetti,http://viaf.org/viaf/41938302,M,Italy,1845,1916,46,A una flor,3,15.10.1891,1891-10-15,Lyricism,Spanish,,"Soto-Hall, Máximo",Italian
La Habana Literaria,42,"Borrero Echeverría, Esteban",,http://viaf.org/viaf/12664942,M,Cuba,1849,1906,42,Bosquejo fantástico,3,15.10.1891,1891-10-15,Fictional Prose,Spanish,"Cruz, Manuel de la",,
La Habana Literaria,43,"Varona, Enrique José",,http://viaf.org/viaf/59880487,M,Cuba,1849,1933,42,Milanés,3,15.10.1891,1891-10-15,Lyricism,Spanish,,,
La Habana Literaria,44,Anonymous,,n.I.,NA,NA,NA,NA,NA,J. J. Milanés,3,15.10.1891,1891-10-15,Image,n.I.,,,
La Habana Literaria,45,"Vandine, Mary E.",,First search unsuccessful,F,NA,NA,NA,NA,La isla de Capri,3,15.10.1891,1891-10-15,Non-fictional Prose,Spanish,,"Cabrera, Raimundo",English
La Habana Literaria,46,Anonymous,,n.I.,NA,NA,NA,NA,NA,El vesubio visto desde Capri,3,15.10.1891,1891-10-15,Image,n.I.,,,
La Habana Literaria,47,Anonymous,,n.I.,NA,NA,NA,NA,NA,La gruta azul,3,15.10.1891,1891-10-15,Image,n.I.,,,
La Habana Literaria,48,Anonymous,,n.I.,NA,NA,NA,NA,NA,El arco natural,3,15.10.1891,1891-10-15,Image,n.I.,,,
