NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Revista Contemporánea,1,"Sanín Cano, Baldomero",Director,NA,Colombia,Porvenir del Castellano,1,Octubre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,17/03/23,1--18,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,18,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,19,NA
Revista Contemporánea,NA,"Valencia, Francisco",Creador,Pacho Valencia,Colombia,Sugestiones,1,Octubre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,02/07/23,19-21,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,21,NA
Revista Contemporánea,NA,"Uribe, Diego",Creador,NA,Colombia,Paseo nocturno,1,Octubre de 1904,No,NA,Español,NA,Poesía,NA,"Cuervo, Emilio",NA,02/04/23,22-24,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,25,NA
Revista Contemporánea,NA,"Gaitán O., Gustavo",Creador,NA,NA,Lucha suprema. Fragmento de un diario,1,Octubre de 1904,No,NA,Español,NA,Prosa Ficción,Fragmento,NA,NA,21/03/23,25-47,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,47,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,48,NA
Revista Contemporánea,NA,"Valencia, Guillermo",Creador,"Valencia, G.",Colombia,Nihil,1,Octubre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,0.7,48,NA
Revista Contemporánea,NA,"López, Ismael",Creador,Cornelio Hispanio,Colombia,El atleta,1,Octubre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,1,49,NA
Revista Contemporánea,NA,"Bengoechea, Alfredo de ",Creador,NA,Colombia,Vieilles Tristesses,1,Octubre de 1904,No,NA,Francés,NA,Poesía,NA,"Régnier, Henri de ",NA,2,50-51,Este autor colombiano adoptó la lengua francesa como medio de expresión al igula que Heredia.
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,52,NA
Revista Contemporánea,NA,"Hinestroza Daza, Ricardo",Crítico,NA,Colombia,"""Emociones de la guerra""",1,Octubre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,33.2,52-86,"Este texto inicia con un epígrafe en francés e incluye, así mismo, varias citas en Francés. "
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,1,Octubre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,86,NA
Revista Contemporánea,NA,Anónimo,Reseñista,NA,NA,Cartas de un oficial chino,1,Octubre de 1904,No,NA,Español,NA,Reseña,Notas,NA,Cartas de un oficial chino,02/06/23,87-89,NA
Revista Contemporánea,NA,"Gourmont, Remy de",Reseñista,NA,Francia,Inocencia,1,Octubre de 1904,Sí,NA,Español,Francés,Reseña,Notas,NA,Inocencia de Francisco de Paula Rendón,02/04/23,89-91,"En el índice dice que Rémy de Gourmount escribió inicencia, pág, 92. Verificar esta información"
Revista Contemporánea,NA,"Duque Uribe, Rafael",Reseñista,"D'Oribe, R.",Colombia,Les Arte de la Vie,1,Octubre de 1904,No,NA,Español,NA,Reseña de revista,Notas,NA,Les Arte de la Vie,03/05/23,92-95,"Reseña de revista francesa: transferencia internacional a través de la promoción de los textos de una revista fracesa de los que hacen comentarios. Esto  muestra que tenían acceso a dicah revista. La pregunta es, quién era la persona que los proveía de estas revistas?"
Revista Contemporánea,NA,"Duque Uribe, Rafael",Reseñista,"D'Oribe, R.",Colombia,Revue Des Idées,1,Octubre de 1904,No,NA,Español,NA,Reseña de revista,Notas,NA,Revue Des Idées,0.7,95-96,Reseña de revista francesa: en esta se confirman la recepción de la revista. Transferencia internacional directa.
Revista Contemporánea,NA,"Duque Uribe, Rafael",Reseñista,"D'Oribe, R.",Colombia,Helios,1,Octubre de 1904,No,NA,Español,NA,Reseña de revista,Notas,NA,Helios (de Madrid),01/08/23,96-97,"Reseña de la revista Helios de Madrid: aquí resaltan que esta revista haya publicado los poemas de Bengoechea en Francés, al igual que ellos. "
Revista Contemporánea,NA,"Grillo, Maximiliano",Creador,Max Grillo,Colombia,Literaturas en decadencia,2,Noviembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,20/05/23,98-119,"Tiene un epígrafe de Remy de Gourmont. Funerales del estilo. Mercure, XI, 1902. Menciona, posiblemente de dónde lo ha sacado, Esto muestra que tenía acceso al Mercure."
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,119,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,120,NA
Revista Contemporánea,NA,"D'Annunzio, Gabriele",Creador,NA,Italia,Mujeres,2,Noviembre de 1904,Sí,"Valencia, Guillermo",Español,Italiano,Poesía,NA,NA,NA,01/07/23,120-121,Traducción del libro Laus Vitae
Revista Contemporánea,NA,"D'Annunzio, Gabriele",Creador,NA,Italia,Le Donne,2,Noviembre de 1904,No,NA,Italiano,NA,Poesía,NA,NA,NA,01/07/23,122-123,"""A fin de que los lectores puedan entenden apreciar mejor la fidelidad inteligente de esta versión, se publica en seguida el original de ella"" Nota del Redactor. En esta nota y la publicación de este texto hay una idea explicita sobre la traducción. Además de ello hay una dinámica de transferencia desde el texto traducido, pero también desde el original. Esto denota el tipo de lector al que estaba dirigido la revista. "
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,123,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,124,NA
Revista Contemporánea,NA,"García Ortiz, Laureano",Creador,NA,Colombia,Fantasía de un bibliófilo,2,Noviembre de 1904,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,15/07/23,124-140,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,141,NA
Revista Contemporánea,NA,"Gómez Restrepo, Antonio",Creador,NA,Colombia,El bautismo de pisa,2,Noviembre de 1904,No,NA,Español,NA,Poesía,NA,"Uribe, Diego",NA,0.9,141,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,142,NA
Revista Contemporánea,NA,"Gómez Restrepo, Antonio",Creador,NA,Colombia,Santa Cecilia,2,Noviembre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,142,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.1,173,NA
Revista Contemporánea,NA,"Carvajal, Manuel A.",Creador,"Carvajal, M.A.",Colombia,Simbolismos de la floresta. I. El lirio,2,Noviembre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,0.9,143,NA
Revista Contemporánea,NA,"Carvajal, M.A.",Creador,NA,Colombia,Simbolismos de lafloresta. II. Orquidea solitaria,2,Noviembre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,1,144,NA
Revista Contemporánea,NA,"Sanín Cano, Baldomero",Director,NA,Colombia,El impresionismo en Bogotá,2,Noviembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,10/05/23,1445-156,NA
Revista Contemporánea,NA,Anónimo,Ilustrador,NA,NA,NA,2,Noviembre de 1904,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,156,Esta imagen ha aparecido anteriormente. Verificar en qué paginas
Revista Contemporánea,NA,Anónimo,Reseñista,R.H.D.,NA,La Revue des Idees,2,Noviembre de 1904,No,NA,Español,NA,Reseña de revista,Notas,NA,La Revue des Idees (revista de parisina),15/03/23,157-173,"Transferencias: en este texto se resumen los artículos de la Revue Des Idees. Esto da cuenta, primero del acceso a la revista. Segundo del conocimiento del idioma. Tercero de los textos que quieren presentar (para tener clara esta idea tengo que leer el texto completo). EN EL ÍNDICE DICEN QUE EL NENÚFAR BLANCO (PÁG 166) ES DE mALLARMÉ, STEPHANE"
Revista Contemporánea,NA,"Sanín Cano, Baldomero",Director,NA,Colombia,Los japoneses juzgados por un americano,2,Noviembre de 1904,Sí,NA,Español,Inglés,Prosa No ficción,Notas,NA,NA,01/04/23,174-175,"Nota del editor ""Extractado de The Two Pacifics del Booklovers Magasine"" Buscar este periódico o revista para revisar el texto"
Revista Contemporánea,NA,Anónimo,Reseñista,NA,NA,Ideas,2,Noviembre de 1904,No,NA,Español,NA,Reseña de revista,Notas,NA,Ideas (Revista mensual argentina),0.5,175-176,NA
Revista Contemporánea,NA,"Rojas, Julio A.",Creador,NA,NA,El alma de la raza,2,Noviembre de 1904,No,NA,Español,NA,Prosa Ficción,Notas,NA,NA,01/03/23,176-177,NA
Revista Contemporánea,NA,"Sanín Cano, Baldomero",Director,NA,Colombia,Degeneración,2,Noviembre de 1904,No,NA,Español,NA,Prosa No ficción,Notas,NA,NA,02/05/23,177-179,NA
Revista Contemporánea,NA,Anónimo,Reseñista,NA,NA,Harpas en el silencio,2,Noviembre de 1904,No,NA,Español,NA,Reseña,Notas,NA,Harpas en el silencio de Eugenio Díaz Romero,1,180,Transfrencia: Promoción y recomendación de autores
Revista Contemporánea,NA,"Díaz Romero, Eugenio",Creador,NA,Argentina,Doliente,2,Noviembre de 1904,No,NA,Español,NA,Poesía,Notas,NA,NA,0.5,181,Este es un poema del libro de Eugenio Díaz Romero que promocionan. Transferencia directa a través de la promoción de autores de otras latitudes
Revista Contemporánea,NA,"Heredia Márquez, Francisco de ",Creador,Adarme,Colombia,Opiniones del Bachiller Niemand,2,Noviembre de 1904,No,NA,Español,NA,Prosa No ficción,Notas,NA,NA,04/08/23,181-186,NA
Revista Contemporánea,NA,Anónimo,Creador,NA,NA,Salve,2,Noviembre de 1904,No,NA,Español,NA,Prosa No ficción,Notas,NA,NA,0.7,186,NA
