NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Cultura,2a,"Nieto Caballero, Agustín",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,"1. Se mencionan los fundadores de la revista. Algunos como Luis López de Mesa se les indica su rol posteriomente como director, los demás asumimos que son editores."
Cultura,2b,"Aparicio, Alberto",Editor,NA,NA,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2c,"Coradine, Alberto",Editor,NA,NA,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2d,"Paláu, Alfonso",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2e,"Molina Garcés, Ciro",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2f,"López de Mesa, Luis",Director,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2g,"Carvajal, Manuel Antonio",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2h,"Escobar Larrazábal, Melitón",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2i,"Valencia, Miguel Santiago",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2j,"Rivas, Raimundo",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,NA
Cultura,2k,"Rueda Vargas, Tomás",Editor,NA,Colombia,FUNDADORES,1,"FEBRERO, MCMXV",No,NA,Español,NA,Publicidad,NA,NA,NA,0.4,NA,1. Revisar [''Colaboradores-BaseDeDatos''] en una primer apartado mencionan que es de España y en otro de Colombia. Encontré esta fuente del periódico El Tiempo donde registraron su muerte en 1943:  https://news.google.com/newspapers?id=1KkbAAAAIBAJ&sjid=f1YEAAAAIBAJ&hl=fr&pg=1704%2C2226197
Cultura,3,"López de Mesa, Luis",Director,NA,Colombia,PROBLEMAS METAFISICOS,1,"FEBRERO, MCMXV",No,NA,Español,NA,Prosa No ficción,NA,NA,NA,18/08/23,01/01/20,"1.En la publicación referencian a Platón,  Büchner,Haeckel, Claude Bernard, Duclaux, etc. 2. Es interesante que en el título en mayusculas no aparece tildado, por cuestiones de la imprenta, pero en las siguientes páginas en el ''encabezado'' sí aparecen con las respectivas tildes. "
Cultura,4,"Hawthorne, Nathaniel",Creador,NA,Estados Unidos,EL VELLOCINO DE ORO,1,"FEBRERO, MCMXV",Sí,"Coradine, Alberto",Español,Inglés,Prosa Ficción,NA,NA,NA,04/05/23,23-27,1. En la publicación mencionan que el texto traducido es una ''Variación de Nathaniel Hawthorne''.
Cultura,5,"Escobar Larrazábal, Melitón",Editor,"Escobar Larrazábal, M.",Colombia,LA TOPOGRAFIA DE LAS FRONTERAS. Ensayo sobre los elementos para una inteligencia en materia de limites,1,"FEBRERO, MCMXV",No,NA,Español,NA,Prosa No ficción,Ensayo,NA,NA,15/03/23,27-42,NA
Cultura,6,"Coradine, Alberto",Editor,NA,NA,LAS DOS LOGICAS,1,"FEBRERO, MCMXV",No,NA,Español,NA,Prosa No ficción,NA,NA,NA,03/02/23,43-46,1. En la publicación el autor habla sobre la ciencia.
Cultura,7,"Rivas, Raimundo",Editor,NA,Colombia,MEMORANDUM SOBRE LAS RELACIONES ENTRE COLOMBIA Y LA SANTA SEDE (Desde 1810),1,"FEBRERO, MCMXV",No,NA,Español,NA,Prosa No ficción,NA,NA,NA,18/08/23,46-64,"1. En este apartado se explora la relación de Colombia, desde que era la Nueva Granada, con Roma."
Cultura,8,"Lemaître, Jules",Creador,NA,Francia,ANNA SOROR,1,"FEBRERO, MCMXV",Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,06/07/23,65- 71,"1. En esta publicación hacen alusión a Dido, personaje de la Eneida, Virgilio."
Cultura,9a,"Nieto Caballero, Agustín",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,72,"1. [Primer prospecto editorial] En este apartado los fundadores de la revista realizan el primer prospecto editorial, donde disponen el por qué del surgimiento de la revista, sus intenciones y motivaciones para la misma. 2.  Ellos mencionan que la revista tiene una intención nacionalista, pero sin dejar de lado lo que los víncula con su herencia europea."
Cultura,9b,"Aparicio, Alberto",Editor,NA,NA,CULTURA,1,"FEBRERO, MCMXV",No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,72,"1. [Primer prospecto editorial] En este apartado los fundadores de la revista realizan el primer prospecto editorial, donde disponen el por qué del surgimiento de la revista, sus intenciones y motivaciones para la misma. 2.  Ellos mencionan que la revista tiene una intención nacionalista, pero sin dejar de lado lo que los víncula con su herencia europea."
