NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
El Montañés,1,"Montoya, Gabriel",Ilustrador,NA,Colombia,El montañero,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Imagen,NA,NA,NA,"0,2",SD,Portada del primer volumen
El Montañés,2,Anónimo,Creador,NA,NA,Estatutos de la Compañía de El Montañés. Art. 1°,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Prosa No ficción,Estatuto,NA,NA,"0,2",SD,
El Montañés,3,Anónimo,Creador,NA,NA,Circular de colaboración. 20 de Agosto de 1897,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Prosa No ficción,Circular,NA,NA,"0,3",SD,
El Montañés,4,"Ospina Vásquez, Mariano",Creador,Prólogus,Colombia,Reseña Mensual. N° 1° Pág. 45,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Prosa No ficción,Reseña,NA,NA,"0,5",SD,
El Montañés,5,"Rodríguez, Horacio Marino",Ilustrador,H. M. R.,Colombia,Samuel Velásquez,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Imagen,NA,NA,NA,"0,6",1,
El Montañés,6,"Latorre, Gabriel",Creador,L,Colombia,Samuel Velásquez,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,"11,2",01/01/13,Semblanza
El Montañés,7,"Rodríguez, Horacio Marino",Ilustrador,H. M. R.,Colombia,La lucha,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Imagen,Ilustración,NA,NA,"0,3",13,
El Montañés,8,"Velásquez Botero, Samuel",Creador,NA,Colombia,La lucha,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,Español,NA,Poesía,NA,NA,NA,2,13-15,
El Montañés,9,"Velásquez Botero, Samuel",Creador,NA,Colombia,Fragmento de una Novela inédita,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,Español,NA,Prosa Ficción,Novela,NA,NA,"3,1",15-18,
El Montañés,10,"Rodríguez, Horacio Marino",Creador,H,Colombia,Dos cuadros de Cano,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,Español,NA,Prosa No ficción,NA,NA,"Retratos del ""Dr. Nuñez"" y el ""Dr. Holguín"" de Francisco Antonio Cano","3,8",19-22,
El Montañés,11,"Carrasquilla, Tomás",Creador,NA,Colombia,En la Diestra de Dios Padre,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,Español,NA,Prosa Ficción,Cuento,NA,NA,"21,2",23-44,
El Montañés,12,"Rodríguez, Horacio Marino",Ilustrador,NA,Colombia,La reunión,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Imagen,Ilustración,NA,NA,"0,3",27,
El Montañés,13,"Rodríguez, Horacio Marino",Ilustrador,NA,Colombia,La muerte,Vol. 1. Núm. 1,Septiembre de 1897,No,NA,NA,NA,Imagen,Ilustración,NA,NA,"0,3",32,
