NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
El Repertorio. Revista Mensual Ilustrada,1a,"Greiff, Luis de",Director,NA,Colombia,Prospecto,1,Junio de 1896,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,01/02/23,"1. Se menciona que el arte del grabado es incipiente en Medellín. Se hace ilustrado para fomentar el arte y dar más novedad y atractivo al periódico. [Transf. técnica y estética]
2. En cada número habrá el retrato de algún hombre notable de literatura, artes y ciencias, así como muestras de sus producciones (no especifica si de Medellín o de Colombia. Se asume que de Colombia porque después hace la mención de ""adelanto patrio""). [Transf. local, intelectual]
3. El periódico se propone divulgar producciones nacionales y otras que puedan interesar al lector por su utilidad o amenidad. [Abiertos a transf. externas]
4. El periódico desecha los temas políticos y religiosos y acoge especialmente la crítica literaria o de bellas artes. [Rechazo y aceptación a ciertas transf. temáticas]"
El Repertorio. Revista Mensual Ilustrada,1b,"Rodríguez, Horacio Marino",Director,NA,Colombia,Prospecto,1,Junio de 1896,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,01/02/23,"1. Se menciona que el arte del grabado es incipiente en Medellín. Se hace ilustrado para fomentar el arte y dar más novedad y atractivo al periódico. [Transf. técnica y estética]
2. En cada número habrá el retrato de algún hombre notable de literatura, artes y ciencias, así como muestras de sus producciones (no especifica si de Medellín o de Colombia. Se asume que de Colombia porque después hace la mención de ""adelanto patrio""). [Transf. local, intelectual]
3. El periódico se propone divulgar producciones nacionales y otras que puedan interesar al lector por su utilidad o amenidad. [Abiertos a transf. externas]
4. El periódico desecha los temas políticos y religiosos y acoge especialmente la crítica literaria o de bellas artes. [Rechazo y aceptación a ciertas transf. temáticas]"
El Repertorio. Revista Mensual Ilustrada,2,"Greiff, Luis de",Director,NA,Colombia,Epifanio Mejía,1,Junio de 1896,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.7,3,"1. Hay una locución italiana en el texto: che forse non morrà. No está traducida. [Transf. extranjera]
2. Se hace mención del himno antioqueño, estrofa VI. [Transf. nacional]
3. Se menciona uno de los poemas de Epifanio Mejía. Se dice que es ""de sus más dulces y tiernas poesías"": Historia de una tórtola. [Transf. nacional]"
El Repertorio. Revista Mensual Ilustrada,3,"Cano, Francisco Antonio",Ilustrador,F. C.,Colombia,NA,1,Junio de 1896,No,NA,NA,NA,Imagen,NA,NA,NA,0.3,3,"1. Es un grabado del retrato de Epifanio Mejía.
2. El nombre del autor figura en la página 65, número II, de El Repertorio."
El Repertorio. Revista Mensual Ilustrada,4,"Yepes, Joaquín E.",Creador,"Yepes, J. E.",Colombia,Frutos de mi tierra,1,Junio de 1896,No,NA,Español,NA,Prosa No ficción,NA,"Carrasquilla, Tomás",NA,13,01/04/16,"0. Este texto bien podría pasar por crítica o por comentario lector. También podría pertenecer al género epistolar, pues es una carta dirigida a Tomás Carrasquilla. 
00. Se indica que es de Colombia pues en el texto se menciona que el manuscrito de ""Frutos de mi tierra"" andaba ""inédito"" por las calles que frecuentaba Yepes, por lo que se deduce que se trata de alguien del mismo país de Carrasquila por la cercanía con dicho manuscrito.
1. Se menciona el juicio que tiene Julián Paéz M. (colombiano, escritor), que dice que la obra de Tomás Carrasquilla vale por sus gráficos provincialismos y sus característicos diálogos. [Transf. nacional]
2. Se mencionan la publicación de otras obras de Carrasquilla: Simón el Mago. [Transf. nacional]
3. Se mencionan obras de José María de Pereda (español, escritor): Sotileza, La Puchera y El sabor de la tierruca. Se compara su estilo con el de Carrasquilla por influencias literarias y ambiente. [Transf. internacional]
4. Se menciona también a Miguel de Cervantes (español, escritor) y su obra El Quijote, así como a sus personajes. Se dice que es un padre literario y que Carrasquilla lo leyó (lo mismo Pereda). [Transf. internacional]
5. Se menciona a Fernán Caballero, seudónimo de Cecilia Böhl de Faber y Ruiz de Larrea (escritora suiza). Se menciona su texto La gaviota (1849) y se añade un fragmento de una de sus coplas al final. [Transf. internacional]
6. Se menciona a Emilia Pardo Umaña (colombiana, escritora), que hace un paralelo entre José María de Pereda y Fernán Caballero. [Transf. internacional]
7. Se menciona a Baldomero Sanín Cano (colombiano, escritor), quien ha leído a Carrasquilla y ha hecho menciones sobre su estilo. [Transf. nacional]
8. Se hace mención del apellido Vásquez junto con la metáfora ""hecho con dos pinceladas maestras"". Tal vez se trate del pintor José María Vásquez (mexicano) o de otro. Debe revisarse. (p. 7, línea 5). [Transf. no identificada]
9. Se usan varias locuciones extranjeras: sans façon (francés), confort (inglés), pure sang (inglés), quanto al cuore (italiano), casus belli (no se identifica la lengua), boarding house (inglés), arriére pensé (francés), imbroglio (italiano) [Transf. internacional]
10. Se hace mención de la batalla de las Queseras del medio (1819), la cual hizo parte de la guerra de independencia de Venezuela. [Transf. internacional]
11. En la página 8, en el último párrafo, el autor (Joaquín Yepes), muestra una postura interesante frente al comercio: lo toma como un intercambio de ideas y sentimientos, corrtientes y tendencias. Esto podría denotar una transferencia de una postura cultural frente al comercio. Debe revisarse. [Posible transf.]
12. Se hace mención de E. T. A. Hoffmann, escritor prusiano. [Transf. internacional]
13. Se menciona uno de los cuentos de Emilia Pardo Bazán (española, escritora). No se logra identificar cuál, pues la referencia es a un personaje. [Transf. internacional]
14. Se menciona que les llegan noticias de misioneros católicos, más concretamente de uno que le da a conocer al autor una noticia ocurrida en Caracas. [Transf. internacional]
15. Se menciona a Gustave Flaubert (francés, escritor). [Transf. internacional]
16. Se menciona a César Pintos, pero no se logra saber quién es. Debe revisarse. Lo mismo con Martín Gala [Posible transf.]
17. Se menciona a un Talleyrand; se cree que es Charles Maurice de Talleyrand, diplomático francés. [Transf. internacional]
18. Se menciona una postura enfrentada respecto al arte, sobre si este debe ser docente o no. Esto puede dar cuenta de que el autor ha leído textos que problematizan este asunto, tal vez del exterior. Debe revisarse. [Transf. internacional]
19. Se menciona que el autor conoce a un viajero francés que aprendió español en Medellín y usa los modismos de las gentes del vulgo, asemejándose a los personajes de Carrasquilla. [Transf. internacional]
20. Se menciona José Eugenio Díaz Castro, escritor colombiano. Carrasquilla siguió sus pasos en el género literario costumbrista. [Transf. nacional]
21. Se menciona a Benito Pérez Galdós (español, dramaturgo). [Transf. internacional]
22. Hay reproches al naturalismo francés, por lo que se demuestra que este autor tuvo contacto con obras de este género. [Transf. internacional]
23. Se menciona a Soledad Acosta de Samper, escritora colombiana. [Transf. nacional]
24. Se menciona al pintor y grabadro español Francisco de Goya. [Transf. internacional]
25. Se menciona a R. Jiménez Triana pero no se pudo encontrar más datos sobre el mencionado. Debe revisarse. [Posible transf.]"
El Repertorio. Revista Mensual Ilustrada,5,"Mejía, Epifanio",Creador,NA,Colombia,La tórtola,1,Junio de 1896,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,17,1. El poema tiene fecha de julio 30 de 1868.
El Repertorio. Revista Mensual Ilustrada,6,"Cano, Francisco Antonio",Ilustrador,F. C.,Colombia,NA,1,Junio de 1896,No,NA,NA,NA,Imagen,NA,NA,NA,0.8,17,"1. Es un grabado de un árbol y una tórtola.
2. El nombre del autor figura en la página 65, número II, de El Repertorio."
El Repertorio. Revista Mensual Ilustrada,7,"Féval, Paul",Creador,"Feval, P.",Francia,Canción del peral,1,Junio de 1896,Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,02/05/23,18-20,"0. Se trata de la traducción de una prosa francesa. No se menciona al traductor en la revista.
1. Se asume que el autor es Féval padre por las fechas en que produce sus obras. [Transf. internacional]
2. Se asume que el idioma original del texto es francés por la nacionalidad del autor.
3. Féval, Paul [Padre]"
El Repertorio. Revista Mensual Ilustrada,8,"Cancio Tobón, Juan",Creador,"Tobón, Juan C.",Colombia,Cuba,1,Junio de 1896,No,NA,Español,NA,Poesía,NA,"Arbeláez, Carlos; Arbeláez, Manuel",NA,02/05/23,20-22,"1. El poema tiene fecha de noviembre 23 de 1895, en Rionegro.
2. Se menciona a Juan Clemente Zenea y Fornaris (cubano, poeta). [Transf. internacional]"
El Repertorio. Revista Mensual Ilustrada,9,Anónimo,Ilustrador,Maya,NA,NA,1,Junio de 1896,No,NA,NA,NA,Imagen,NA,NA,NA,1,23,"1. Es un grabado del puente de Occidente. No tiene título, pero en el encabezado de la página aparece ""Puente de Occidente"".
2. El apellido del autor figura en página 65, número II, de El Repertorio."
