NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
La Gruta,1,"Sanín Cano, Baldomero",Creador,NA,Colombia,Amado Nervo,1,Julio 13 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/01/23,3--4,Transferencia:comentario crítico sobre autor extranjero
La Gruta,2,"Grillo, Maximiliano",Creador,Max Grillo,Colombia,Cosas que mueren,1,Julio 13 de 1903,No,NA,Español,NA,Prosa Ficción,Cuentos breves,NA,NA,01/03/23,4--5,NA
La Gruta,3,"Acosta, Javier",Creador,NA,Colombia,De la decadencia y el simbolismo,1,Julio 13 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,6,5--11,Transferencia: comentario crítico sobre el simbolismo
La Gruta,4,"Villafañe, Carlos",Creador,NA,Colombia,Ingenuidades tristes,1,Julio 13 de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.7,11,NA
La Gruta,5,Directores,Director,NA,Colombia,Buena obra,1,Julio 13 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.3,12,Transferencia local: recomendación de libro de autor nacional
La Gruta,6,"Grillo, Maximiliano",Creador,Max Grillo,Colombia,Circular,1,Julio 13 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.4,12,NA
La Gruta,7,Anónimo,Creador,NA,NA,Triunfa el amor,1,Julio 13 de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.3,12,NA
La Gruta,8,Vicepresidente,Creador,NA,Colombia,Decreto N°.84 de 1903,1,Julio 13 de 1903,No,NA,Español,NA,Prosa No ficción,Decreto,NA,NA,0.3,NA,NA
La Gruta,9,Anónimo,Creador,NA,NA,NA,1,Julio 13 de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,03/07/23,NA,Dentro de la publicidad se mencionan las condiciones para la inscripción de los libros en la Agencia de Rivas Frade
La Gruta,10,Anónimo,Creador,NA,NA,La agencia de Fedérico Rivas Frade,2,Julio 25 de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,NA,NA
La Gruta,11,"Espinosa Guzmán, Rafael",Director,NA,Colombia,La semana,2,Julio 25 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,02/03/23,19-21,NA
La Gruta,12,"Mendoza, Diego",Creador,NA,Colombia,"""La Gruta""",2,Julio 25 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,21-22,"Transferencia local: Prospecto de la Revista, este texto es tomado de ""El Relator"""
La Gruta,13,"Pombo, Rafael",Creador,NA,Colombia,Dolores Argaez y Ferro,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,1,22-23,NA
La Gruta,14,"Villafañe, Carlos",Creador,NA,Colombia,Dolores Argaez y Ferro,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,23,NA
La Gruta,15,"Acosta, Javier",Creador,NA,Colombia,Dolores Argaez y Ferro,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,23,NA
La Gruta,16,"Flórez, Julio",Creador,NA,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez. Fragmento,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,1,24-25,NA
La Gruta,17,Anónimo,Ilustrador,NA,NA,NA,2,Julio 25 de 1903,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,24,NA
La Gruta,18,"Soto Borda, Clímaco",Creador,NA,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez.,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.5,25,NA
La Gruta,19,"Francisco, Julio de",Creador,NA,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez.,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.2,26,NA
La Gruta,20,"Mora, Luis María",Creador,NA,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez.,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.3,26,NA
La Gruta,21,"Uribe, Diego",Creador,NA,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez.,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.5,26,NA
La Gruta,22,"Torres, Carlos Arturo",Creador,C.A. Torres,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez.,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.5,27,NA
La Gruta,23,"Acevedo, Graciliano",Creador,NA,Colombia,Elegía. En la muerte de la Srita. Dolores Argáez.,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.3,27,NA
La Gruta,24,"García Rico, Francisco",Creador,NA,Colombia,Última página,2,Julio 25 de 1903,No,NA,Español,NA,Poesía,Elegía,NA,NA,0.2,27,NA
La Gruta,25,"Escobar, Mario",Creador,NA,Colombia,Informaciones. La república Española,2,Julio 25 de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,28-29,Transferencia: comentario sobre el panorama literario español
La Gruta,26,Anónimo,Creador,NA,NA,NA,2,Julio 25 de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,3,30-31-32,Dentro de la publicidad están las condiciones de la revista y la continuación del decreto N 84 de 1903 sobre la reglamentación de la prensa
La Gruta,27,Anónimo,Creador,NA,NA,La agencia de Fedérico Rivas Frade,3,3 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,33-34,Dentro de la publicidad mencionan que la revista se enviará a domicilio
La Gruta,28,Anónimo,Ilustrador,NA,NA,NA,3,3 de agosto de 1903,No,NA,NA,NA,Imagen,NA,NA,NA,1,35,NA
La Gruta,29,"Rivas Frade, Federico",Director,NA,Colombia,Julio de Francisco,3,3 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/05/23,36-37,Transferencia local: comentario sobre la muerte de un escritor. El epígrafe está en francés (Una cita de Lamartine)
La Gruta,30,"Francisco, Julio de",Creador,NA,Colombia,Por qué lloraba?,3,3 de agosto de 1903,No,NA,Español,NA,Prosa Ficción,NA,"Uribe, Diego",NA,1,37-38,NA
La Gruta,31,"Francisco, Julio de",Creador,NA,Colombia,¡Qué suerte! (¿Qué haría con la casa?),3,3 de agosto de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,38-39,NA
La Gruta,32,Anónimo,Ilustrador,NA,NA,NA,3,3 de agosto de 1903,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,38,Esta imagen está dentre del texto. Posiblemente sea para ilustrarlo
La Gruta,33,Anónimo,Ilustrador,NA,NA,NA,3,3 de agosto de 1903,No,NA,NA,NA,Imagen,NA,NA,NA,0.2,39,Esta imagen está dentre del texto. Posiblemente sea para ilustrarlo
La Gruta,34,"Francisco, Julio de",Creador,NA,Colombia,La lezna de Moratin,3,3 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,39,NA
La Gruta,35,"Francisco, Julio de",Creador,NA,Colombia,La gran batalla,3,3 de agosto de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/06/23,39-40-41,NA
La Gruta,36,"Francisco, Julio de",Creador,NA,Colombia,A Rafael Espinosa Guzmán,3,3 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,41,NA
La Gruta,37,"Francisco, Julio de",Creador,NA,Colombia,"Alma gemelas. (Carlos Argáez, Jesús María Osorio, Carlos Ordóñez Santamaría)",3,3 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,41,NA
La Gruta,38,P. A.,Creador,P.A.,NA,La semana,3,3 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,La semana,NA,NA,02/03/23,42-43-44,NA
La Gruta,39,"Acosta, Javier",Creador,NA,Colombia,La decadencia y el simbolismo. Notas finales,3,3 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/01/23,44-45,Transferencia: comentario crítico sobre el simbolismo
La Gruta,40,Anónimo,Creador,NA,NA,NA,3,3 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/02/23,45-46,"Transferencia: Parte de la polémica sobre el La decadencia y el Sombolismo, el autor Acosta, dice que esa parte de la respuesta es de un amigo)"
La Gruta,41,"Montes del Valle, Agripina",Creador,NA,Colombia,El Dr. José M. González B.,3,3 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.6,46-47,NA
La Gruta,42,Anónimo,Creador,NA,NA,NA,3,3 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,01/08/23,47-48,"En esta parte de la publicidad se incluye el decreto 84 de 1903 de prensa, las condiciones de la revista, "
La Gruta,43,Anónimo,Creador,NA,NA,La agencia de Fedérico Rivas Frade,4,10 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,49-50,"Dan alguna información sobre la Revista, como que los anuncios serán publicados en esta y sus condiciones"
La Gruta,44,"Espinosa Guzmán, Rafael",Director,Espinoza Guzmán,Colombia,La semana,4,10 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,La semana,NA,NA,0.6,51,NA
La Gruta,45,"Cervantes, Edmundo",Creador,NA,Colombia,Recuerdos de campaña,4,10 de agosto de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,8,51-59,NA
La Gruta,46,"Castello, Carlos",Creador,NA,Colombia,Florilegio,4,10 de agosto de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.4,59,NA
La Gruta,47,"López, Samuel",Creador,NA,NA,Evocación,4,10 de agosto de 1903,No,NA,Español,NA,Poesía,NA,"Acosta, Javier",NA,1,60,NA
La Gruta,48,"Gómez, Enrique",Creador,Gómez Ezequiel,NA,Ecos filiales,4,10 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,01/05/23,61-62,NA
La Gruta,49,"Gómez, Plinio",Creador,NA,NA,A Pío Vélez Malo,4,10 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,62,NA
La Gruta,50,Anónimo,Creador,NA,NA,NA,4,10 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,63-64,"En esta parte de la publicidad se incluye el decreto 84 de 1903 de prensa, las condiciones de la revista, "
La Gruta,51,Anónimo,Creador,NA,NA,La agencia de Fedérico Rivas Frade,5,24 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,65-66,NA
La Gruta,52,"León Gómez, Adolfo",Creador,NA,Colombia,Ultratumba,5,24 de agosto de 1903,No,NA,Español,NA,Poesía,NA,A mi esposa,NA,0.6,67,NA
La Gruta,53,"León Gómez, Adolfo",Creador,NA,Colombia,A mi niña,5,24 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,67,NA
La Gruta,54,"Espinosa Guzmán, Rafael",Director,NA,Colombia,De literatura,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,02/05/23,68-70,Transferencia: cometario sobre el contextos literario en general
La Gruta,55,"Flórez Álvarez, Ester",Creador,Floralba,Colombia,El sepulcro vacío,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,"Cuellar, Fanny",NA,3,70-73,NA
La Gruta,56,"Escobar, Mario",Creador,NA,Colombia,Informaciones. Muerte de un poeta,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/01/23,73-74,Transferencia: comentario sobre la muerte de un poeta epañol
La Gruta,57,"Gómez Jaime, Alfredo",Creador,NA,Colombia,El gran premio,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,02/02/23,74-76,NA
La Gruta,58,"Espinosa Guzmán, Rafael",Director,Espinoza Guzmán,Colombia,La semana,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,La semana,NA,NA,01/05/23,76-78,NA
La Gruta,59,"Lleras A., Alfredo",Creador,NA,NA,Ayer y hoy,5,24 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,78,NA
La Gruta,60,"Echeverría, Eduardo",Creador,NA,Colombia,Rayo de luna,5,24 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,78,NA
La Gruta,61,Anónimo,Creador,NA,NA,Emociones de la guerra,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.1,78,Transferencias locales: promoción de libro de autor colombiano
La Gruta,62,Anónimo,Creador,NA,NA,Condiciones,5,24 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.3,78,NA
La Gruta,63,Anónimo,Creador,NA,NA,NA,5,24 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,79-80,Dentro de la publicidad continua la información sobre el decreto 84 de 1903 sobre prensa
La Gruta,64,Anónimo,Creador,NA,NA,La agencia de Fedérico Rivas Frade,6,29 de agosto de 1903,No,NA,Español,NA,Publicidad,NA,NA,NA,2,81-82,NA
La Gruta,65,"Vargas Tamayo, Roberto",Creador,NA,Colombia,"Los palidos. Del libro ""Escorzos""",6,29 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,1,83,NA
La Gruta,66,"Espinosa Guzmán, Rafael",Director,NA,Colombia,Recuerdos íntimos,6,29 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,02/04/23,84-86,Transferencias locales: comentario crítico sobre el libro de un autor colombiano
La Gruta,67,"Acosta, Javier",Creador,NA,Colombia,De eros,6,29 de agosto de 1903,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/05/23,86-87,NA
La Gruta,68,"Rémy, François",Creador,NA,NA,El loco del plenilunio,6,29 de agosto de 1903,Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,02/01/23,87-89,NA
La Gruta,69,"Espinosa Guzmán, Rafael",Director,REG,Colombia,La semana,6,29 de agosto de 1903,No,NA,Español,NA,Prosa No ficción,La semana,NA,NA,3,90-92,NA
La Gruta,70,"Rivas Frade, Federico",Director,NA,Colombia,Silencio,6,29 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,93,NA
La Gruta,71,"Vargas Tamayo, Roberto",Creador,NA,Colombia,?...,6,29 de agosto de 1903,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,93,NA
