NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Lectura Amena,1,Anónimo,Creador,NA,NA,Lectura Amena,1,15 de septiembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,Lectura Amena,NA,1,NA,Sumario
Lectura Amena,2,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,Juegos florales,1,15 de septiembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,Lectura Amena,NA,02/05/23,1--3,NA
Lectura Amena,3,"Cano, Antonio José",Creador,NA,Colombia,Soñada…,1,15 de septiembre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,1,3--4,NA
Lectura Amena,4,"Dicenta, Joaquín",Creador,NA,España,La corona de Zorilla,1,15 de septiembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,4--5,NA
Lectura Amena,5,"Gautier, Théophile",Creador,NA,Francia,"La ""Gioconda"" de Leonardo da Vinci",1,15 de septiembre de 1904,Sí,NA,Español,Francés,Prosa No ficción,NA,NA,NA,1,5--6,Transferencia: traducción
Lectura Amena,6,"Darío, Rubén",Creador,NA,Nicaragua,Filtración,1,15 de septiembre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,1,6--7,NA
Lectura Amena,7,Anónimo,Creador,NA,NA,Rochefort poerta religioso,1,15 de septiembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.4,7,Transferencia: comentario sobre autor extranjero
Lectura Amena,8,"Rochefort, Henri",Creador,NA,Francia,NA,1,15 de septiembre de 1904,No,NA,Francés,Francés,Poesía,NA,NA,NA,0.4,7--8,Transferencia: texto en el idioma original
Lectura Amena,9,"Rochefort, Henri",Creador,NA,Francia,Traducción,1,15 de septiembre de 1904,Sí,NA,Español,Francés,Poesía,NA,NA,NA,0.4,8--,Transferencia: traducción
Lectura Amena,10,"Gerin, Gabriel",Creador,NA,Francia,La invitación del doctor,1,15 de septiembre de 1904,Sí,"Martínez Rivas, F",Español,Francés,Poesía,NA,NA,NA,3,8--11,Transferencia: traducción
Lectura Amena,11,"Restrepo, Saturnino",Creador,S. Restrepo,Colombia,Amado Nervo,1,15 de septiembre de 1904,No,NA,Español,NA,Prosa No ficción,NA,Lectura Amena,NA,9,11--20,Transferencia: comentario sobre autor extranjero
Lectura Amena,12,Anónimo,Creador,NA,NA,NA,1,15 de septiembre de 1904,No,NA,Español,NA,Publicidad,NA,NA,NA,04/03/23,NA,NA
Lectura Amena,13,"Maupassant, Guy de",Creador,NA,Francia,El paraguas,2,15 de octubre de 1904,Sí,NA,Español,Francés,Prosa Ficción,NA,"Oudinot, Camilo",NA,6,21-26,Transferencia: traducción
Lectura Amena,14,"Velázquez, Alejandro",Creador,NA,Colombia,¡Oh… Artistas!,2,15 de octubre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,01/02/23,27-28,NA
Lectura Amena,15,"Monte, D. L.",Creador,D.L. Monte,NA,"""Reir llorando""",2,15 de octubre de 1904,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/01/23,28-29,NA
Lectura Amena,16,"Flórez, Julio",Creador,NA,Colombia,¡Oh Luna!,2,15 de octubre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,29--,NA
Lectura Amena,17,"Montoya, Antonio José",Creador,NA,Colombia,Limosnera,2,15 de octubre de 1904,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/03/23,29-30,NA
Lectura Amena,18,"Mercado, Julio",Creador,NA,Colombia,Himnario,2,15 de octubre de 1904,No,NA,Español,NA,Poesía,NA,"Velasquez, Leticia",NA,0.4,31,NA
Lectura Amena,19,"Restrepo Restrepo, Antonio María",Creador,Abel Farina,Colombia,En un albúm (*),2,15 de octubre de 1904,No,NA,Español,NA,Poesía,NA,NA,NA,0.6,31-32,NA
Lectura Amena,20,"Blanco Asenjo, Ricardo",Creador,NA,España,El Capitán Medrano. Episodio de la Guerra de Independencia,2,15 de octubre de 1904,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,3,32-35,Transferencia: texto sobre la guerra
Lectura Amena,21,"Cano, Antonio José",Creador,NA,Colombia,Delirio,2,15 de octubre de 1904,No,NA,Español,NA,Poesía,NA,"Cruz, Jorge de la ",NA,1,35-36,NA
Lectura Amena,22,"Mendès, Catulle",Creador,NA,Francia,*El escollo eterno (De Rigoletto),2,15 de octubre de 1904,Sí,NA,Español,Francés,Prosa Ficción,NA,NA,NA,0.8,36,Transferencia: traducción. Texto tomado del Rogoletto
Lectura Amena,23,"Soto Borda, Clímaco",Creador,NA,Colombia,Vino rojo (De Germinal),2,15 de octubre de 1904,No,NA,Español,NA,Prosa No ficción,NA,"Murillo, Emilio",NA,1,37,Tomado de Germinal
Lectura Amena,24,"Tejada Córdoba, Benjamín",Creador,NA,Colombia,Con genio también se paga,2,15 de octubre de 1904,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,38-39,NA
