NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Lectura y Arte,1,"Cano, Francisco Antonio",Director,NA,Colombia,Estudio decorativo,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Imagen,NA,NA,NA,1,1,Portada
Lectura y Arte,5,"Cano, Francisco Antonio",Director,FAC,Colombia,NA,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,3,"Acompaña el texto anterior, ajustado al contenido"
Lectura y Arte,6,"Ospina Vásquez, Mariano",Creador,M.O.V.,Colombia,Temas de conversación. Se solicita un apostol.,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/05/23,04/05/23,Textos en dos columnas. Sobre la educación en Colombia.
Lectura y Arte,7,"Restrepo, Saturnino",Creador,NA,Colombia,Sombria.,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,4,05/09/23,NA
Lectura y Arte,8,"Cano, Francisco Antonio",Director,FAC,Colombia,NA,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Imagen,NA,NA,NA,0.5,06/07/23,"Ilustraciones en varias páginas que acompañan al texto, con temática similar pero no totalmente fiel al relato"
Lectura y Arte,9,"Cano, Antonio José",Director,NA,Colombia,Abanico,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Poesía,NA,NA,NA,0.4,10,NA
Lectura y Arte,10,"Tobón Mejía, Marco",Director,NA,Colombia,NA,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Imagen,NA,NA,NA,1,10,"Ilustración de un abanico que acompaña el poema anterior, en gran tamaño y que sirve de fondo al texto"
Lectura y Arte,11,"Restrepo Restrepo, Carlos Eugenio",Creador,NA,Colombia,Cera y diamante.,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/03/23,11/12/23,"Sobre Rafael Giraldo y Viana. Reproduce texto publicado en El Casino Literario en 1887, y completa con uno nuevo lamentando su muerte."
Lectura y Arte,12,"Tobón Mejía, Marco",Director,MTM,Colombia,NA,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Imagen,NA,NA,NA,0.3,11,"Imagen de Rafael Giraldo y Viana, firmado MTM"
Lectura y Arte,13,"Fernández Avendaño, Enrique Wenceslao",Creador,NA,Colombia,A Rafael Giraldo y Viana,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Poesía,NA,NA,NA,0.2,12,NA
Lectura y Arte,14,"Castell, Ángel María",Creador,NA,España,Perez Galdos y los episodios nacionales.,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,1,01/12/13,"Sobre la trayectoria literaria de Pérez Galdós. El artículo aparece originalmente ese mismo año: enel diario español  ABC, 26 de febrero de 1903."
Lectura y Arte,19,"Tobón Mejía, Marco",Director,MTM,Colombia,NA,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Imagen,NA,NA,NA,0.5,15,Imagen del acto del acróbata
Lectura y Arte,20,"Montoya, Antonio José",Creador,"Montoya, José",Colombia,Cronica literaria,Año 1º Nº 1,01/07/03,No,NA,Español,NA,Reseña,Cronica,NA,"Páginas locas, Abel Farina (poesía);
Notas humanas, Alfonso Castro (cuento);
Aires antioqueños, José Velásquez (poesía);
El recluta, varios autores (cuento);
Navidades, Fidel Cano (poesía);
Poesías, Epifanio Mejía;
Oración por todos, Victor Hugo (traducción de Fidel Cano);
Salve, Regina!, Tomás Carrasquilla (novela).",02/09/23,"16-17, 19",Dice que la traducción del texto de Victor Hugo es mejor que la que hizo Andrés Bello.
