NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Revista Literaria. Publicación Mensual,1,"Laverde Amaya, Isidoro",Director,NA,Colombia,La literatura colombiana (Nuestros propósitos),1,15/05/90,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,17/05/23,01/01/18,Hace un recuento de publicaciones periódicas del siglo XIX.
Revista Literaria. Publicación Mensual,2,"Camacho Roldán, Salvador",Creador,NA,Colombia,Los trabajos del Canal de Panamá (1),1,15/05/90,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,14,18-32,
Revista Literaria. Publicación Mensual,3,"Sanín Cano, Baldomero",Creador,NA,Colombia,José Caicedo Rojas,1,15/05/90,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,9,32-41,
Revista Literaria. Publicación Mensual,4,"Acosta de Samper, Soledad",Creador,NA,Colombia,La mujer española en Santafé de Bogotá,1,15/05/90,No,NA,Español,NA,Prosa No ficción,Narración histórico-novelesca,"Camacho Roldán, Salvador",NA,8,41-49,Tema Mujer. Soleda Acosta
Revista Literaria. Publicación Mensual,5,"Merchán, Rafael María",Creador,NA,Colombia,A mi hijo Augusto,1,15/05/90,No,NA,Español,NA,Poesía,NA,NA,NA,6,55,
Revista Literaria. Publicación Mensual,6,"Isaacs, Jorge",Creador,NA,Colombia,Lumbre de sombra,1,15/05/90,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,55,
Revista Literaria. Publicación Mensual,7,"Restrepo, José Manuel",Creador,NA,Colombia,Historia de la Nueva Granada. Para servir de continuación á la historia de Colombia [continúa],1,15/05/90,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,03/03/23,56-59,
Revista Literaria. Publicación Mensual,8,"Laverde Amaya, Isidoro",Director,NA,Colombia,Crónica,1,15/05/90,No,NA,Español,NA,Prosa No ficción,Crónica,NA,NA,05/06/23,59-64,"Sección cercana a una crónica de acontecimientos noticiosos: muertes, viajes, etc."
Revista Literaria. Publicación Mensual,9,Anónimo,Creador,NA,NA,Próximo a publicarse,1,15/05/90,No,NA,Español,NA,Publicidad,NA,NA,NA,0.25,SD,"Tema Mujer. Se anuncia publicación de novela ""Policarpa Salavarrieta"""
Revista Literaria. Publicación Mensual,10,"Núñez, Rafael",Creador,NA,Colombia,"Decreto Número 151, sobre imprenta",1,15/05/90,No,NA,Español,NA,Prosa No ficción,Decreto,NA,NA,01/01/75,SD,Ley 61 de 1888. Ley de los Caballos. Censura.
Revista Literaria. Publicación Mensual,11,"Galindo, Aníbal",Creador,NA,Colombia,Monografías de economía política. Del derecho de propiedad,2,15/06/90,No,NA,Español,NA,Prosa No ficción,Monografía,NA,NA,10/06/23,65-75,
Revista Literaria. Publicación Mensual,12,"Pereira Gamba, Próspero",Creador,NA,Colombia,Un rasgo pedagógico del célebre ducador argentino,2,15/06/90,No,NA,Español,NA,Prosa No ficción,Apunte de viaje,NA,NA,12/03/23,75-87,Sobre Domingo Faustino Sarmiento
Revista Literaria. Publicación Mensual,13,"Abella Mendoza, Temístocles",Creador,NA,Colombia,"Datos geográficos, históricos y estadísticos de Sogamoso",2,15/06/90,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,13/03/23,88-101,
