NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Revista Moderna. (Enciclopedia colombiana),1,Anónimo,Creador,NA,NA,Revista Moderna. (Enciclopedia colombiana),1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,Indice de autores,NA,NA,2,NA,Información sobre la revista
Revista Moderna. (Enciclopedia colombiana),2,Anónimo,Creador,NA,NA,Índice de autores,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,NA
Revista Moderna. (Enciclopedia colombiana),3,La dirección,Director,L.D,Colombia,Revista Moderna,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,03/05/23,1--4,NA
Revista Moderna. (Enciclopedia colombiana),4,"Goyau, Georges ",Creador,NA,Francia,Un nuevo pontificado,1,Tomo I Enero de 1915,Sí,NA,Español,Francés,Prosa No ficción,NA,NA,NA,13/05/23,4--18,Transferecia; traducción y Texto tomado de la Revue de deux Mondes
Revista Moderna. (Enciclopedia colombiana),5,"Carreño, Pedro M.",Creador,NA,Colombia,Desde Londres,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,6,19-24,NA
Revista Moderna. (Enciclopedia colombiana),6,"Serao, Matilde",Creador,NA,Grecia,Poema de una noche de amor,1,Tomo I Enero de 1915,Sí,Revista Moderna,Español,Italiano,Prosa Ficción,Novela,NA,NA,13,25-42,"Transferencia: traducción de una novela. Al final dicen: ""Versión del Italiano para Revista Moderna"")"
Revista Moderna. (Enciclopedia colombiana),7,"Restrepo Tirado, Ernesto",Creador,NA,Colombia,Sinsabores. De Gonzalo de Oviedo en tierra firme,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,14,43-56,NA
Revista Moderna. (Enciclopedia colombiana),8,"Caro, Miguel Antonio",Creador,NA,Colombia,¡Mío¡,1,Tomo I Enero de 1915,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57,"La revista los publica como ""Dos sonetos inéditos"""
Revista Moderna. (Enciclopedia colombiana),9,"Caro, Miguel Antonio",Creador,NA,Colombia,Vida y muerte,1,Tomo I Enero de 1915,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57,"La revista los publica como ""Dos sonetos inéditos"""
Revista Moderna. (Enciclopedia colombiana),10,"Cuervo Márquez, Emilio",Director,NA,Colombia,Revista Política,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/10/25,58-68,NA
Revista Moderna. (Enciclopedia colombiana),11,"Urdaneta Ramos, Alfredo",Director,NA,Colombia,Preliminares de la guerra,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,01/08/75,68-76,NA
Revista Moderna. (Enciclopedia colombiana),12,Anónimo,Creador,NA,NA,Revista Moderna,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.25,77,NA
Revista Moderna. (Enciclopedia colombiana),13,La dirección,Director,NA,Colombia,Cámara de comercio,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,1,77-78,NA
Revista Moderna. (Enciclopedia colombiana),14,La dirección,Director,NA,Colombia,Junta central de higiene,1,Tomo I Enero de 1915,No,NA,Español,NA,Prosa No ficción,De la ciudad,NA,NA,0.5,78,NA
