NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Panida,1,"Rendón, Ricardo",Ilustrador,R. Rendón B.,Colombia,Panida,1,5525,No,NA,Español,NA,Imagen,NA,NA,NA,0.4,SD,Ilustración de portada
Panida,2,Redacción,Creador,NA,Colombia,"""Panida""",1,5525,No,NA,Español,NA,Publicidad,NA,NA,NA,0.5,SD,Aviso sobre pagos y suscripciones [esta publicidad se repite en otros números]
Panida,3,"Rodó, José Enrique",Creador,NA,Uruguay,En el álbum de un poeta,1,5525,No,NA,Español,NA,Poesía,NA,NA,NA,0.7,1,
Panida,4,"Villa Carrasquilla, Jorge",Creador,M. Carré,Colombia,Una historia,1,5525,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,2,
Panida,5,"Mejía Arango, Félix",Creador,C. R. Pino,Colombia,Elegía,1,5525,No,NA,Español,NA,Poesía,NA,NA,NA,01/01/23,03/01/23,
Panida,6,"Remouchamps, Victor",Creador,NA,Francia,Nil Noir,1,5525,Sí,"Restrepo Olarte, Jesús",Español,Francés,Poesía,NA,NA,NA,0.7,4,Transferencia
Panida,7,"Machado, Manuel",Creador,NA,España,"Granada, por Rusiñol",1,5525,No,NA,Español,NA,Poesía,NA,NA,NA,0.6,5,
Panida,8,"France, Anatole",Creador,NA,Francia,Cuento de Hadas,1,5525,No,Anónimo,Español,Francés,Prosa No ficción,NA,NA,NA,2,05/07/23,Transferencia
Panida,9,"Greiff, León de",Director,Leo LEGRIS,Colombia,La Balada de los Buhos Estáticos,1,5525,No,NA,Español,NA,Poesía,NA,NA,NA,01/05/23,07/08/23,
Panida,10,"Altenberg, Peter",Creador,NA,Austria,De diez y siete a treinta,1,5525,No,Anónimo,Español,Alemán,Prosa Ficción,NA,NA,NA,01/04/23,09/10/23,Transferencia
Panida,11,"Jaramillo Arango, Rafael",Creador,Fernando Villalba,Colombia,Pan,1,5525,No,NA,Español,NA,Poesía,NA,NA,NA,1,10/11/23,
Panida,12,Anónimo,Creador,Cebrián de Amocete,Colombia,"Del libro ""Don Juan Manuel de Padilla""",1,5525,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/04/23,11/12/23,
Panida,13,"Graf, Arturo",Creador,NA,Italia,Morte Regina,1,5525,Sí,"Díez Canedo, Enrique",Español,Italiano,Poesía,NA,NA,NA,0.5,13,Transferencia
Panida,14,Anónimo,Creador,El Visir GULLIVER,Colombia,Al Crayon,1,5525,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,01/01/23,13-14,
Panida,15,Redacción,Creador,⁂,Colombia,NA,1,5525,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.2,15,
Panida,16,Redacción,Creador,⁂,Colombia,NA,1,5525,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.2,15,
Panida,17,"Turgenev, Ivan",Creador,NA,Rusia,NA,1,5525,No,Anónimo,Español,Ruso,Prosa No ficción,NA,NA,NA,0.1,15,Transferencia
Panida,18,Redacción,Creador,⁂,Colombia,NA,1,5525,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.2,15-16,
Panida,19,Anónimo,Creador,NA,NA,Arturo Graf,1,5525,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,0.1,16,Semblanza
Panida,20,"Jiménez, Juan Ramón",Creador,NA,España,Páginas Dolorosas,1,5525,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.3,16,
Panida,21,"Rendón, Ricardo",Ilustrador,R. Rendón B.,Colombia,Panida,2,5538,No,NA,Español,NA,Imagen,NA,NA,NA,0.4,SD,Ilustración de portada
Panida,22a,"Isaza, Teodomiro",Creador,Helena de MAIA,Colombia,Almas Humanas,2,5538,No,NA,Español,NA,Poesía,NA,NA,NA,02/07/23,17-19,"Algunas fuentes le dan este pseudónimo a Teodomiro Isaza, pero otras insinúan que también pudo intervenir Félix Mejía"
Panida,22b,"Mejía Arango, Félix",Creador,Helena de MAIA,Colombia,Almas Humanas,2,5538,No,NA,Español,NA,Poesía,NA,NA,NA,02/07/23,17-19,"Algunas fuentes le dan este pseudónimo a Teodomiro Isaza, pero otras insinúan que también pudo intervenir Félix Mejía"
Panida,23,"Greiff, León de",Director,Juan CRISTÓBAL,Colombia,Omar Khayyam,2,5538,No,NA,Español,NA,Poesía,NA,NA,NA,0.3,19,
Panida,24,"Villa López, Francisco",Creador,V. de LUSSICH,Colombia,Del parque,2,5538,No,NA,Español,NA,Poesía,NA,NA,NA,0.5,20,
