NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Trofeos,1,Anónimo,Creador,NA,NA,Trofeos,1,15/09/06,No,NA,Español,NA,Publicidad,NA,NA,NA,1,NA,Información de la revista
Trofeos,2,"Valderrama, Felipe",Creador,NA,NA,Trofeos,1,15/09/06,No,NA,Español,NA,Prosa No ficción,nota editorial,NA,NA,1,1,Transferencia: propuesta editorial
Trofeos,3,"Acosta, Javier",Creador,NA,Colombia,El centavro. Poema antiguo por Ismael López,1,15/09/06,No,NA,Español,NA,Prosa No ficción,Estudio crítico,NA,NA,05/05/23,2--7,Transferencia local: comentario crítico sobre la traducción de un autor local
Trofeos,4,"Chénier, André",Creador,NA,Francia,A Fanny,1,15/09/06,Sí,"Caro, Miguel Antonio",Español,Francés,Poesía,NA,NA,NA,1,7--8,Transferencia: traducción
Trofeos,5,"Giraldo, Francisco",Creador,NA,Colombia,Enlace de brumas,1,15/09/06,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,8--9,NA
Trofeos,6,"Uribe, Diego",Creador,NA,Colombia,Portada,1,15/09/06,No,NA,Español,NA,Poesía,Poesía,NA,NA,1,9--10,NA
Trofeos,7,"Sánchez, Alberto",Creador,NA,Colombia,De arte,1,15/09/06,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,02/05/23,10--12,Transferencias: comentario sobre el estado del arte en Colombia
Trofeos,8,"Gómez Restrepo, Antonio",Creador,NA,Colombia,En la villa de Adriano,1,15/09/06,No,NA,Español,NA,Poesía,Poesía,"Camacho, Guillermo",NA,0.5,13,NA
Trofeos,9,"Duque Uribe, Rafael",Creador,R.Doribe,NA,Bellas artes,1,15/09/06,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,13-15,Transferencias locales: comentario sobre un exposición de pintura en Bogotá
Trofeos,10,"Cervera, Manuel",Creador,NA,Argentina,"De ""dualidades heroícas""",1,15/09/06,No,NA,Español,NA,Poesía,Poesía,NA,NA,0.5,16,Transferencia: poema de autor extranjero
Trofeos,11,"Retté, Adolphe",Creador,NA,Francia,Himno a los árboles. Adolfo Retté,1,15/09/06,Sí,"Castillo, Eduardo",Español,Francés,Poesía,Poesía,NA,NA,0.5,16,Transferencia: traducción
Trofeos,12,"Valencia, Francisco",Creador,Pacho Valencia,Colombia,Lo que dice el café,1,15/09/06,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,17-18,NA
Trofeos,13,"Sanín Cano, Baldomero",Creador,B. Sanín Cano,Colombia,Señores directores de Trofeos,1,15/09/06,No,NA,Español,NA,Prosa No ficción,Carta,NA,NA,1,19,Transferencia: propuesta de la Asociación Literaria Internacional Americana
Trofeos,14,"Londoño, Víctor Manuel",Director,V.M.L.,Colombia,Guillermo Posada. Quimeras,1,15/09/06,No,NA,Español,NA,Reseña,NA,NA,Quimera de Guillermo Posada,2,20-21,Transferencia: promoción de libro de autor colombiano
Trofeos,15,"Ossa, Valentín",Creador,V.O.,Colombia,Miscelanea Literaria,1,15/09/06,No,NA,Español,NA,Reseña de revista,NA,NA,Miscelanea Literario  de Buga,0.8,22,Transferencia local: promoción de revista loca
Trofeos,16,"Londoño, Víctor Manuel",Director,V.M.L.,Colombia,Ruben Dario.Opiniones,1,15/09/06,No,NA,Español,NA,Reseña,NA,NA,Opiniones de Rubén Darío,01/03/23,22-24,"Transferencia: promoción de libro de autor extranjerto. Librería de Fernando Fé, Madrid. 1906"
Trofeos,17,"López, Ismael",Director,NA,Colombia,El viaje de Esparta a Barres,1,15/09/06,No,NA,Español,NA,Prosa Ficción,Notas,NA,NA,02/09/23,24-26,Transferencia: comentario sobre libro de autor extranjero
Trofeos,18,"Louÿs, Pierre",Creador,NA,Bélgica,Fragmento inédito de Afrodita,1,15/09/06,Sí,NA,Español,Francés,Poesía,Notas,NA,NA,0.5,27,Transferencia: traducción. Texto tomado de Vers et Prose
Trofeos,19,"López, Ismael",Director,I.L.,Colombia,Tierra propia,1,15/09/06,No,NA,Español,NA,Reseña de revista,NA,NA,Tierra Propia (revista de Popayán),1,27-28,Transferencia local: promoción de revista loca
Trofeos,20,"Naranjo Martínez, Enrique",Creador,Enrique Naranjo M.,Colombia,Últimos sobrevivientes de la independencia,1,15/09/06,No,NA,Español,NA,Prosa No ficción,Notas,NA,NA,2,28-30,NA
Trofeos,21,"Barrès, Maurice",Creador,NA,Francia,La partida,1,15/09/06,Sí,Directores,Español,Francés,Prosa No ficción,Notas,NA,NA,01/05/23,30-31,Transferencia: traducción.
