Source,Target,Type,Id,Label,Weight,n
Revista Literaria. Publicación Mensual,"Abella Mendoza, Temístocles",Directed,0,,8,8
Alpha,"Abella-Nouvrac, L.",Directed,1,,1,1
El Montañés,"Acevedo Bernal, Ricardo",Directed,2,,1,1
El Repertorio. Revista Mensual Ilustrada,"Acevedo Bernal, Ricardo",Directed,3,,2,2
La Gruta,"Acevedo, Graciliano",Directed,4,,1,1
Revista Literaria. Publicación Mensual,"Acosta de Samper, Soledad",Directed,5,,3,3
La Gruta,"Acosta, Javier",Directed,6,,9,9
Revista Contemporánea,"Acosta, Javier",Directed,7,,4,4
Trofeos,"Acosta, Javier",Directed,8,,3,3
Revista Literaria. Publicación Mensual,"Alarcón, Pedro Antonio de",Directed,9,,3,3
Lectura Amena,"Alba, E.",Directed,10,,1,1
Revista Literaria. Publicación Mensual,"Alcalá Galiano, José",Directed,11,,1,1
Revista Literaria. Publicación Mensual,"Alcántara Jurado, Fracisco",Directed,12,,1,1
El Repertorio. Revista Mensual Ilustrada,"Allais, Alphonse",Directed,13,,1,1
Lectura Amena,"Allais, Alphonse",Directed,14,,1,1
Lectura y Arte,"Altamira, Rafael",Directed,15,,1,1
Revista Literaria. Publicación Mensual,"Altamira, Rafael",Directed,16,,1,1
Alpha,"Altenberg, Peter",Directed,17,,2,2
Panida,"Altenberg, Peter",Directed,18,,2,2
Revista Contemporánea,"Altenberg, Peter",Directed,19,,1,1
CULTURA,"Alzate Noreña, Luis",Directed,20,,5,5
Revista Literaria. Publicación Mensual,"Andrade Marín, Francisco",Directed,21,,2,2
Revista Literaria. Publicación Mensual,"Antommarchi de Rojas, Dorila",Directed,22,,2,2
CULTURA,"Aparicio, Alberto",Directed,23,,6,6
Alpha,"Arango M., Gabriel",Directed,24,,1,1
La Bohemia Alegre,"Arango Mejía, Gabriel",Directed,25,,1,1
Lectura y Arte,"Arango, Jorge Luis",Directed,26,,1,1
Lectura Amena,"Arango, Juan B.",Directed,27,,1,1
Lectura y Arte,"Arango, Juan B.",Directed,28,,1,1
La Gruta,"Arboleda, Arturo",Directed,29,,1,1
Alpha,Arbós y Góngora,Directed,30,,1,1
La Gruta,"Arce, Julio César",Directed,31,,1,1
Revista Contemporánea,"Arce, Julio César",Directed,32,,3,3
Trofeos,"Arce, Julio César",Directed,33,,1,1
Lectura Amena,"Arciniegas, Ismael Enrique",Directed,34,,1,1
Revista Literaria. Publicación Mensual,"Arciniegas, Ismael Enrique",Directed,35,,6,6
El Repertorio. Revista Mensual Ilustrada,"Arenal, Concepción",Directed,36,,1,1
Revista Literaria. Publicación Mensual,"Arenal, Concepción",Directed,37,,1,1
CULTURA,"Arguedas Díaz, Alcides",Directed,38,,1,1
Revista Moderna. (Enciclopedia colombiana),"Arias Argáez, Daniel",Directed,39,,1,1
Lectura y Arte,"Arriola de Bezoita, Jesús",Directed,40,,1,1
CULTURA,"Asbjørnsen, Peter Christen",Directed,41,,1,1
El Repertorio. Revista Mensual Ilustrada,"Bacon, Francis",Directed,42,,1,1
Alpha,"Bahr, Hermann",Directed,43,,1,1
Revista Literaria. Publicación Mensual,"Balaguer i Cirera, Víctor",Directed,44,,1,1
El Repertorio. Revista Mensual Ilustrada,"Balart, Federico",Directed,45,,1,1
Revista Literaria. Publicación Mensual,"Balart, Federico",Directed,46,,3,3
Alpha,"Barbier, Auguste",Directed,47,,1,1
Revista Moderna. (Enciclopedia colombiana),"Barreto, José María",Directed,48,,1,1
Trofeos,"Barriga Paez, J.",Directed,49,,1,1
Alpha,"Barrès, Maurice",Directed,50,,2,2
Trofeos,"Barrès, Maurice",Directed,51,,2,2
El Repertorio. Revista Mensual Ilustrada,"Bartrina, Joaquín María",Directed,52,,1,1
Alpha,"Barzini, Luigi",Directed,53,,1,1
Revista Moderna. (Enciclopedia colombiana),"Barón, Felipe",Directed,54,,2,2
Alpha,"Bayona Posada, Jorge",Directed,55,,1,1
La Gruta,"Bayona Posada, Jorge",Directed,56,,1,1
Panida,"Bayona Posada, Jorge",Directed,57,,1,1
Trofeos,"Beaunier, André",Directed,58,,1,1
Revista Moderna. (Enciclopedia colombiana),"Becerra, Ricardo",Directed,59,,1,1
Lectura Amena,"Bedout, C. de",Directed,60,,1,1
La Bohemia Alegre,"Bel, León",Directed,61,,3,3
Revista Moderna. (Enciclopedia colombiana),"Bellaigue, Camile",Directed,62,,1,1
Trofeos,"Bello, Andrés",Directed,63,,1,1
Alpha,"Benavente, Jacinto",Directed,64,,1,1
Panida,"Benavente, Jacinto",Directed,65,,2,2
Revista Contemporánea,"Bengoechea, Alfredo de",Directed,66,,1,1
Lectura Amena,"Bernal, Luis",Directed,67,,1,1
El Repertorio. Revista Mensual Ilustrada,"Berrío París, Julio",Directed,68,,1,1
Revista Literaria. Publicación Mensual,"Berthoud, Eugène",Directed,69,,1,1
Alpha,"Betancourt Villegas, Félix",Directed,70,,4,4
CULTURA,"Betancourt Villegas, Félix",Directed,71,,1,1
Lectura y Arte,"Betancourt Villegas, Félix",Directed,72,,1,1
CULTURA,"Betancourt, Pedro Pablo",Directed,73,,1,1
El Montañés,"Beyle, Henri",Directed,74,,1,1
Revista Literaria. Publicación Mensual,"Biart, Lucien",Directed,75,,1,1
Revista Moderna. (Enciclopedia colombiana),"Bilac, Olavo",Directed,76,,1,1
Revista Moderna. (Enciclopedia colombiana),"Bissière, Roger",Directed,77,,1,1
Revista Literaria. Publicación Mensual,"Blaine, James G.",Directed,78,,1,1
El Repertorio. Revista Mensual Ilustrada,"Blanc, Charles",Directed,79,,1,1
Lectura Amena,"Blanco Asenjo, Ricardo",Directed,80,,1,1
Lectura Amena,"Blanco Fombona, Rufino",Directed,81,,2,2
Revista Moderna. (Enciclopedia colombiana),"Blanco Fombona, Rufino",Directed,82,,3,3
Trofeos,"Blanco Fombona, Rufino",Directed,83,,5,5
Revista Literaria. Publicación Mensual,"Blanco y Sánchez, Rufino",Directed,84,,3,3
Lectura Amena,"Blanco, Héctor",Directed,85,,1,1
Alpha,"Blasco Ibáñez, Vicente",Directed,86,,1,1
Lectura y Arte,"Blasco Ibáñez, Vicente",Directed,87,,1,1
Lectura Amena,"Bobadilla, Emilio",Directed,88,,1,1
Trofeos,"Bocquet, León",Directed,89,,1,1
La Gruta,"Bohemia, Juan de",Directed,90,,1,1
Revista Literaria. Publicación Mensual,"Boixet i Castells, Ezequiel",Directed,91,,1,1
El Montañés,"Bolívar, Simón",Directed,92,,1,1
Revista Moderna. (Enciclopedia colombiana),"Bolívar, Simón",Directed,93,,1,1
Alpha,"Bonilla, Manuel Antonio",Directed,94,,2,2
Lectura Amena,"Bonis, J. M.",Directed,95,,1,1
Revista Moderna. (Enciclopedia colombiana),"Bonnard, Abel",Directed,96,,1,1
Revista Contemporánea,"Borda, Francisco de Paula",Directed,97,,1,1
Revista Literaria. Publicación Mensual,"Borda, José Joaquín",Directed,98,,2,2
Alpha,"Botero Guerra, Camilo",Directed,99,,1,1
El Montañés,"Botero Guerra, Camilo",Directed,100,,1,1
El Repertorio. Revista Mensual Ilustrada,"Botero Guerra, Camilo",Directed,101,,2,2
Lectura Amena,"Botero Guerra, Camilo",Directed,102,,2,2
