Source,Target,Type,Id,Label,Weight
Gente Vieja,A. C.,Directed,3918,,1
La Vida Literaria,A. C.,Directed,3919,,1
Luz,A. C.,Directed,3920,,3
Germinal,A. I. de R.,Directed,3921,,1
La Vida Literaria,"Abarzuza, Francisco de",Directed,3922,,1
Germinal,"Abayá, Francisco",Directed,3923,,1
Alma Española,"Abel, Edmundo",Directed,3924,,3
Helios,"Abel, Edmundo",Directed,3925,,2
Revista Literaria. Publicación Mensual,"Abella Mendoza, Temístocles",Directed,3926,,8
Alpha,"Abella-Nouvrac, L.",Directed,3927,,1
Luz i Sombra,Aben-Hamet,Directed,3928,,1
Alma Española,"Acebal, Francisco",Directed,3929,,14
Helios,"Acebal, Francisco",Directed,3930,,3
Renacimiento,"Acebal, Francisco",Directed,3931,,3
El Montañés,"Acevedo Bernal, Ricardo",Directed,3932,,1
El Repertorio. Revista Mensual Ilustrada,"Acevedo Bernal, Ricardo",Directed,3933,,2
La Gruta,"Acevedo, Graciliano",Directed,3934,,1
El Nuevo Mercurio,"Acevedo, Jesús",Directed,3935,,1
Revista Literaria. Publicación Mensual,"Acosta de Samper, Soledad",Directed,3936,,3
La Gruta,"Acosta, Javier",Directed,3937,,9
Revista Contemporánea,"Acosta, Javier",Directed,3938,,4
Trofeos,"Acosta, Javier",Directed,3939,,3
Revista Azul,"Acosta, Vicente",Directed,3940,,13
Alma Española,"Acuña, Rodrigo de",Directed,3941,,2
El Nuevo Mercurio,"Adam, Paul",Directed,3942,,2
Germinal,"Adam, Paul",Directed,3943,,2
Helios,"Adam, Paul",Directed,3944,,1
Luz i Sombra,"Adlaer, M.",Directed,3945,,1
Gente Vieja,"Afán de Ribera, Antonio Joaquín",Directed,3946,,59
Gente Vieja,Ageo,Directed,3947,,2
Vida Nueva,"Aguilera y Arjona, Alberto",Directed,3948,,2
Alma Española,"Aguilera y Velasco, Alberto",Directed,3949,,1
Gente Vieja,"Aguilera y Velasco, Alberto",Directed,3950,,1
Luz i Sombra,"Aguirre M., R.",Directed,3951,,1
Luz i Sombra,"Agurto M., Luis A.",Directed,3952,,2
Vida Nueva,Al-Ashjai,Directed,3953,,1
Luz,"Aladern, Joseph",Directed,3954,,1
Gente Vieja,"Alameda, Federico",Directed,3955,,1
Gente Vieja,"Alarcón, Pedro Antonio de",Directed,3956,,1
Germinal,"Alarcón, Pedro Antonio de",Directed,3957,,1
Revista Azul,"Alarcón, Pedro Antonio de",Directed,3958,,1
Revista Literaria. Publicación Mensual,"Alarcón, Pedro Antonio de",Directed,3959,,3
Alma Española,"Alas, Genaro",Directed,3960,,6
Gente Vieja,"Alas, Genaro",Directed,3961,,2
Gente Vieja,"Alas, Leopoldo",Directed,3962,,1
La Vida Literaria,"Alas, Leopoldo",Directed,3963,,7
Revista Azul,"Alas, Leopoldo",Directed,3964,,4
Lectura Amena,"Alba, E.",Directed,3965,,1
Revista Azul,"Alba, Rafael de",Directed,3966,,2
La Vida Literaria,"Albani, Francesco",Directed,3967,,1
La Bibliotéca,"Alberdi, Juan Bautista",Directed,3968,,1
Renacimiento,"Albert Paradis, Caterina",Directed,3969,,1
La Vida Literaria,"Alberti, José Ignacio de",Directed,3970,,1
Germinal,"Albornoz, Álvaro de",Directed,3971,,1
Helios,"Albornoz, Álvaro de",Directed,3972,,6
Germinal,"Alcaide de Zafra, Joaquín",Directed,3973,,1
Vida Nueva,"Alcaide de Zafra, Joaquín",Directed,3974,,1
Gente Vieja,"Alcalá Galiano, José",Directed,3975,,1
Revista Literaria. Publicación Mensual,"Alcalá Galiano, José",Directed,3976,,1
Revista Literaria. Publicación Mensual,"Alcántara Jurado, Fracisco",Directed,3977,,1
La Bibliotéca,"Aldao, Carlos A.",Directed,3978,,1
Germinal,"Aldi, Pietro",Directed,3979,,1
Arte Joven,"Aleñá, Juan",Directed,3980,,1
El Repertorio. Revista Mensual Ilustrada,"Allais, Alphonse",Directed,3981,,1
Instantáneas,"Allais, Alphonse",Directed,3982,,1
Lectura Amena,"Allais, Alphonse",Directed,3983,,1
Germinal,"Alma-Tadema, Lawrence",Directed,3984,,1
Helios,"Almagro San Martín, Melchor",Directed,3985,,1
Gente Vieja,"Almendros Aguilar, Antonio",Directed,3986,,5
Renacimiento,"Alomar, Gabriel",Directed,3987,,7
Germinal,"Alonso y Orera, Enrique",Directed,3988,,7
Revista Nueva Spain,"Alonso y Orera, Enrique",Directed,3989,,4
Germinal,"Alonso, Lamberto",Directed,3990,,1
La Bibliotéca,"Alsina, Adolfo",Directed,3991,,1
Arte Joven,"Altada, Luis",Directed,3992,,1
Luz,"Altada, Luis",Directed,3993,,2
El Nuevo Mercurio,"Altamira, Rafael",Directed,3994,,1
Lectura y Arte,"Altamira, Rafael",Directed,3995,,1
Revista Literaria. Publicación Mensual,"Altamira, Rafael",Directed,3996,,1
Revista Azul,"Altamirano, Ignacio Manuel",Directed,3997,,2
Alpha,"Altenberg, Peter",Directed,3998,,2
Panida,"Altenberg, Peter",Directed,3999,,2
Revista Contemporánea,"Altenberg, Peter",Directed,4000,,1
Revista Azul,"Alvarez del Castillo, Manuel",Directed,4001,,1
CULTURA,"Alzate Noreña, Luis",Directed,4002,,5
Gente Vieja,Amadis,Directed,4003,,4
Luz,"Amat, J.",Directed,4004,,1
Revista Azul,"Ambrogi, Arturo",Directed,4005,,15
El Nuevo Mercurio,Amicus,Directed,4006,,1
Gente Vieja,"Amor Meilan, Manuel",Directed,4007,,1
Arte Joven,"Amorós y Vázquez de Figueroa, Juan Bautista",Directed,4008,,2
Revista Nueva Spain,"Amorós y Vázquez de Figueroa, Juan Bautista",Directed,4009,,1
Revista Literaria. Publicación Mensual,"Andrade Marín, Francisco",Directed,4010,,2
Revista Azul,"Andrade, Olegario Víctor",Directed,4011,,1
Alma Española,Andreu Aleu i Teixidor,Directed,4012,,1
El Nuevo Mercurio,"Andreve, Guillermo",Directed,4013,,1
Instantáneas,"Angélico, Fra",Directed,4014,,1
El Nuevo Mercurio,"Anmeghian, P.",Directed,4015,,1
La Bibliotéca,"Ansótegui, Francisco Tomás de",Directed,4016,,1
Revista Literaria. Publicación Mensual,"Antommarchi de Rojas, Dorila",Directed,4017,,2
Gente Vieja,"Antón, Francisco",Directed,4018,,2
La Vida Literaria,"Antúnez, Diego",Directed,4019,,4
CULTURA,"Aparicio, Alberto",Directed,4020,,6
La Vida Literaria,"Appleton Clark, Walter",Directed,4021,,1
Germinal,"Aquino, Miguel",Directed,4022,,4
Alma Española,"Araceli, Gabriel",Directed,4023,,1
La Vida Literaria,"Aramburo y Machado, Mariano",Directed,4024,,1
Revista Azul,Aramis,Directed,4025,,1
Alpha,"Arango M., Gabriel",Directed,4026,,1
La Bohemia Alegre,"Arango Mejía, Gabriel",Directed,4027,,1
Lectura y Arte,"Arango, Jorge Luis",Directed,4028,,1
Lectura Amena,"Arango, Juan B.",Directed,4029,,1
Lectura y Arte,"Arango, Juan B.",Directed,4030,,1
La Bibliotéca,"Arata, Pedro Narciso",Directed,4031,,6
La Gruta,"Arboleda, Arturo",Directed,4032,,1
La Habana Literaria,"Arburu y Morell, José",Directed,4033,,1
Alpha,Arbós y Góngora,Directed,4034,,1
La Gruta,"Arce, Julio César",Directed,4035,,1
Revista Contemporánea,"Arce, Julio César",Directed,4036,,3
Trofeos,"Arce, Julio César",Directed,4037,,1
Lectura Amena,"Arciniegas, Ismael Enrique",Directed,4038,,1
Revista Azul,"Arciniegas, Ismael Enrique",Directed,4039,,6
Revista Literaria. Publicación Mensual,"Arciniegas, Ismael Enrique",Directed,4040,,6
Gente Vieja,"Arco, Ángel del",Directed,4041,,1
Alma Española,"Arenal, Concepción",Directed,4042,,1
El Repertorio. Revista Mensual Ilustrada,"Arenal, Concepción",Directed,4043,,1
Revista Literaria. Publicación Mensual,"Arenal, Concepción",Directed,4044,,1
La Bibliotéca,"Argerich, Juan Antonio",Directed,4045,,2
CULTURA,"Arguedas Díaz, Alcides",Directed,4046,,1
El Nuevo Mercurio,"Argüelles Bringas, Gonzalo",Directed,4047,,1
El Nuevo Mercurio,"Argüelles Bringas, Roberto",Directed,4048,,1
La Vida Literaria,"Argüello, Alberto L.",Directed,4049,,1
Luz i Sombra,"Argüello, Santiago",Directed,4050,,1
Revista Moderna. (Enciclopedia colombiana),"Arias Argáez, Daniel",Directed,4051,,1
Revista Azul,"Arias Sánchez, Alberto",Directed,4052,,1
La Vida Literaria,Arlequín,Directed,4053,,8
La Vida Literaria,"Armada y Losada, Juan de",Directed,4054,,1
Revista Azul,"Armas, Augusto de",Directed,4055,,1
Revista Azul,"Arnault, Antoine-Vincent",Directed,4056,,1
